信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W1(下周一入场),36.8,2026-05-29,12.66,12.66,+0.0%,2.28,,0,0.2685,是,sh.600110,诺德股份,6.1,7.32,90.7,119,,,,,
买点1-W1(下周一入场),37.4,2026-05-29,14.08,14.08,+0.0%,2.46,,0,0.2812,大阴线,sh.600172,黄河旋风,7.7,9.24,95.5,100,,,,,
买点2,5.0,2026-05-15,29.52,32.73,,1.62,,2,,,sh.600330,天通股份,8.74,10.49,99.1,354,29.26,0.9%,+11.9%,1.0,1
买点1-W3(温和),32.0,2026-05-15,21.09,22.22,+5.4%,4.32,0.93,2,0.1607,是,sh.600353,旭光电子,7.94,9.53,87.5,580,,,,,
买点1-W3(缩量),42.0,2026-05-15,14.82,14.44,-2.6%,4.65,0.79,2,0.1068,大阴线,sh.600449,宁夏建材,4.29,5.15,69.7,1576,,,,,
买点1-W1(下周一入场),36.2,2026-05-29,14.31,14.31,+0.0%,2.06,,0,0.111,大阴线,sh.600508,上海能源,4.25,5.1,71.8,561,,,,,
买点2,5.0,2026-05-15,21.63,24.1,,1.07,,2,,,sh.600869,远东股份,6.63,7.96,99.2,341,21.18,2.1%,+13.8%,1.0,1
买点1-W1(下周一入场),37.8,2026-05-29,11.58,11.58,+0.0%,2.61,,0,0.1232,是,sh.600888,新疆众和,4.88,5.86,88.1,41,,,,,
买点1-W3(温和),32.0,2026-05-15,5.47,5.31,-2.9%,4.61,0.91,2,0.058,大阴线,sh.600936,北投科技,9.24,11.09,87.6,835,,,,,
买点2,5.0,2026-05-15,5.03,5.04,,1.16,,2,,,sh.601016,节能风电,8.09,9.71,90.8,974,4.62,8.2%,+9.1%,1.0,2
买点1-W3(缩量),42.0,2026-05-15,13.0,12.35,-5.0%,14.96,0.78,2,0.2536,是,sh.601609,金田股份,7.49,8.99,79.4,1308,,,,,
买点1-W3(温和),27.7,2026-05-15,309.79,295.0,-4.8%,2.57,1.07,2,0.1957,大阴线,sh.603061,金海通,8.9,10.68,99.1,1860,,,,,
买点1-W3(缩量),37.9,2026-05-15,21.68,21.57,-0.5%,2.63,0.76,2,0.2851,是,sh.603269,海鸥股份,7.73,9.28,93.0,525,,,,,
买点1-W1(下周一入场),39.7,2026-05-29,48.44,48.44,+0.0%,3.22,,0,0.2856,是,sh.603678,火炬电子,5.2,6.24,88.4,19,,,,,
买点1-W3(温和),26.9,2026-05-15,69.53,67.22,-3.3%,2.31,0.84,2,0.0615,大幅回吐/大阴线,sh.603688,石英股份,7.52,9.02,94.0,1247,,,,,
买点1-W3(温和),26.5,2026-05-15,61.8,54.78,-11.4%,2.16,1.26,2,0.1247,大阴线,sh.603757,大元泵业,8.79,10.55,89.2,944,,,,,
买点1-W3(缩量),42.0,2026-05-15,21.75,19.25,-11.5%,5.68,0.54,2,0.0979,大阴线,sh.603776,永安行,4.94,5.93,65.7,3293,,,,,
买点1-W3(温和),30.4,2026-05-15,15.01,13.91,-7.3%,3.45,0.86,2,0.1922,是,sh.603916,苏博特,7.21,8.65,87.5,1555,,,,,
买点2,5.0,2026-05-15,69.85,72.99,,0.99,,2,,,sh.603950,长源东谷,7.31,8.77,96.2,625,68.85,1.4%,+6.0%,1.0,1
买点1-W1(下周一入场),37.2,2026-05-29,19.63,19.63,+0.0%,2.41,,0,0.1629,是,sh.603990,麦迪科技,4.09,4.91,78.7,191,,,,,
买点1-W3(温和),27.3,2026-05-15,247.98,253.0,+2.0%,2.43,0.83,2,0.1793,大阴线,sh.688008,澜起科技,8.51,10.21,95.8,1219,,,,,
买点1-W3(温和),27.3,2026-05-15,276.74,245.3,-11.4%,2.42,0.86,2,0.2139,大阴线,sh.688037,芯源微,11.95,14.34,94.1,3580,,,,,
买点1-W3(温和),26.1,2026-05-15,95.5,83.44,-12.6%,2.03,0.97,2,0.1264,大阴线,sh.688127,蓝特光学,7.91,9.49,98.4,2632,,,,,
买点1-W3(温和),29.8,2026-05-15,267.51,261.29,-2.3%,3.27,1.25,2,0.3653,是,sh.688120,华海清科,9.78,11.74,94.4,1359,,,,,
买点1-W1(下周一入场),37.2,2026-05-29,138.05,138.05,+0.0%,2.39,,0,0.2725,是,sh.688183,生益电子,7.03,8.44,85.6,36,,,,,
买点1-W3(温和),26.8,2026-05-15,60.04,54.56,-9.1%,2.28,0.95,2,0.1852,是,sh.688253,英诺特,7.5,9.0,89.6,2978,,,,,
买点1-W3(温和),26.9,2026-05-15,234.67,216.94,-7.6%,2.29,1.04,2,0.0902,是,sh.688279,峰岹科技,6.84,8.21,81.3,776,,,,,
买点1-W3(缩量),42.0,2026-05-15,122.3,167.69,+37.1%,4.11,0.78,2,0.2971,大阴线,sh.688300,联瑞新材,8.6,10.32,98.1,103,,,,,
买点1-W3(温和),26.7,2026-05-15,65.5,78.51,+19.9%,2.24,0.98,2,0.1179,大阴线,sh.688328,深科达,8.31,9.97,98.6,203,,,,,
买点1-W3(缩量),40.3,2026-05-15,34.5,36.04,+4.5%,3.44,0.62,2,0.0593,大幅回吐/大阴线,sh.688350,富淼科技,9.32,11.18,91.9,484,,,,,
买点1-W3(温和),26.6,2026-05-15,122.36,133.93,+9.5%,2.19,1.21,2,0.1112,大阴线,sh.688359,三孚新科,7.07,8.48,90.9,456,,,,,
买点1-W3(温和),28.3,2026-05-15,162.27,150.51,-7.2%,2.78,1.28,2,0.3349,是,sh.688409,富创精密,11.37,13.64,96.3,2447,,,,,
买点1-W3(温和),26.1,2026-05-15,206.5,191.53,-7.2%,2.04,0.89,2,0.0981,大阴线,sh.688515,裕太微,9.93,11.92,93.5,2448,,,,,
买点1-W3(温和),26.7,2026-05-15,245.98,289.93,+17.9%,2.22,0.99,2,0.0981,大阴线,sh.688668,鼎通科技,7.93,9.52,98.8,128,,,,,
买点1-W3(温和),27.4,2026-05-15,33.12,32.93,-0.6%,2.46,1.15,2,0.2603,大阴线,sz.000811,冰轮环境,9.36,11.23,96.7,1076,,,,,
买点1-W1(下周一入场),37.8,2026-05-29,22.35,22.35,+0.0%,2.6,,0,0.0503,是,sz.001308,康冠科技,3.29,3.95,59.7,432,,,,,
买点1-W1(下周一入场),37.0,2026-05-29,58.6,58.6,+0.0%,2.33,,0,0.0729,大幅回吐/大阴线,sz.001314,亿道信息,4.7,5.64,79.8,512,,,,,
买点1-W3(温和),27.0,2026-05-15,143.3,131.85,-8.0%,2.33,1.0,2,0.174,大阴线,sz.002008,大族激光,7.47,8.96,99.4,2861,,,,,
买点1-W1(下周一入场),37.7,2026-05-29,19.34,19.34,+0.0%,2.55,,0,0.2534,大阴线,sz.002185,华天科技,6.61,7.93,92.2,57,,,,,
买点1-W3(温和),26.9,2026-05-15,196.49,203.95,+3.8%,2.3,1.03,2,0.0873,大阴线,sz.002281,光迅科技,9.06,10.87,99.0,664,,,,,
买点1-W1(下周一入场),37.0,2026-05-29,8.85,8.85,+0.0%,2.34,,0,0.0872,大阴线,sz.002406,远东传动,4.4,5.28,73.4,598,,,,,
买点1-W3(温和),28.5,2026-05-15,57.92,54.29,-6.3%,2.82,1.11,2,0.2097,是,sz.002518,科士达,6.63,7.96,79.2,1438,,,,,
买点1-W1(下周一入场),41.7,2026-05-29,17.15,17.15,+0.0%,3.92,,0,0.2741,大阴线,sz.002579,中京电子,5.71,6.85,87.9,73,,,,,
买点1-W3(温和),29.3,2026-05-15,15.53,13.7,-11.8%,3.12,0.81,2,0.0837,大阴线,sz.002708,光洋股份,5.8,6.96,75.3,1605,,,,,
买点1-W1(下周一入场),39.7,2026-05-29,33.42,33.42,+0.0%,3.23,,0,0.2043,大阴线,sz.002733,雄韬股份,5.82,6.98,90.0,141,,,,,
买点1-W3(温和),32.0,2026-05-15,36.05,39.1,+8.5%,4.31,0.81,2,0.1981,是,sz.300001,特锐德,6.05,7.26,87.4,442,,,,,
买点1-W1(下周一入场),36.4,2026-05-29,27.05,27.05,+0.0%,2.12,,0,0.1802,大阴线,sz.300174,元力股份,7.15,8.58,90.4,24,,,,,
买点1-W3(温和),28.7,2026-05-15,23.36,23.11,-1.1%,2.9,0.97,2,0.1429,是,sz.300199,翰宇药业,5.91,7.09,80.7,450,,,,,
买点1-W1(下周一入场),38.3,2026-05-29,24.51,24.51,+0.0%,2.77,,0,0.2298,大阴线,sz.300196,长海股份,6.77,8.12,92.8,131,,,,,
买点1-W3(缩量),42.0,2026-05-15,11.25,11.36,+1.0%,4.13,0.78,2,0.1117,大幅回吐/大阴线,sz.300210,森远股份,7.72,9.26,80.9,1587,,,,,
买点1-W3(温和),30.7,2026-05-15,63.43,56.24,-11.3%,3.58,0.97,2,0.1941,是,sz.300260,新莱应材,8.34,10.01,62.6,1429,,,,,
买点2,5.0,2026-05-15,399.99,455.2,,1.22,,2,,,sz.300394,天孚通信,7.12,8.54,98.2,271,372.5,6.9%,+22.2%,1.0,1
买点1-W1(下周一入场),41.7,2026-05-29,33.5,33.5,+0.0%,3.88,,0,0.216,是,sz.300491,通合科技,5.77,6.92,77.8,190,,,,,
买点2,5.0,2026-05-15,610.05,706.45,,1.35,,2,,,sz.300502,新易盛,5.94,7.13,95.1,236,606.77,0.5%,+16.4%,1.0,1
买点1-W3(缩量),37.5,2026-05-15,107.9,117.77,+9.1%,2.49,0.71,2,0.2206,是,sz.300661,圣邦股份,6.96,8.35,93.0,251,,,,,
买点2,5.0,2026-05-15,54.67,56.21,,0.93,,2,,,sz.300679,电连技术,7.61,9.13,75.9,731,53.8,1.6%,+4.5%,1.0,5
买点1-W2(缩量),46.2,2026-05-22,20.34,21.37,+5.1%,2.07,0.73,1,0.1965,大阴线,sz.300715,凯伦股份,8.3,9.96,94.1,177,,,,,2
买点1-W3(温和),27.4,2026-05-15,85.78,87.6,+2.1%,2.46,1.06,2,0.1119,大阴线,sz.300731,科创新源,7.42,8.9,94.1,545,,,,,
买点2,5.0,2026-05-15,589.98,639.3,,1.42,,2,,,sz.300757,罗博特科,7.27,8.72,98.6,437,549.5,6.9%,+16.3%,1.0,1
买点2,5.0,2026-05-15,94.85,96.66,,1.59,,2,,,sz.300816,艾可蓝,7.31,8.77,95.7,800,88.19,7.0%,+9.6%,1.0,1
买点1-W3(温和),32.0,2026-05-15,63.85,64.89,+1.6%,5.0,1.17,2,0.2659,是,sz.300820,英杰电气,9.39,11.27,68.0,822,,,,,
买点1-W2(温和),40.9,2026-05-22,12.68,13.21,+4.2%,3.64,0.91,1,0.1201,大阴线,sz.300825,阿尔特,7.93,9.52,79.6,218,,,,,3
买点1-W1(下周一入场),36.0,2026-05-29,179.5,179.5,+0.0%,2.0,,0,0.2656,大阴线,sz.300835,龙磁科技,7.25,8.7,98.0,11,,,,,
买点1-W3(温和),26.2,2026-05-15,94.99,90.52,-4.7%,2.07,1.1,2,0.1322,大阴线,sz.300843,胜蓝股份,8.92,10.7,94.3,1847,,,,,
买点1-W3(温和),27.3,2026-05-15,75.05,70.49,-6.1%,2.44,0.83,2,0.2926,大阴线,sz.300903,科翔股份,10.17,12.2,99.7,2153,,,,,
买点1-W3(温和),26.4,2026-05-15,87.5,110.0,+25.7%,2.14,0.88,2,0.0844,大阴线,sz.300936,中英科技,6.71,8.05,98.5,111,,,,,
买点1-W3(缩量),36.2,2026-05-15,175.48,174.68,-0.5%,2.08,0.71,2,0.1334,是,sz.301031,中熔电气,5.75,6.9,92.2,483,,,,,
买点1-W3(温和),27.0,2026-05-15,36.57,34.27,-6.3%,2.32,0.88,2,0.081,大幅回吐/大阴线,sz.301055,张小泉,8.34,10.01,92.6,2351,,,,,
买点1-W1(下周一入场),36.8,2026-05-29,78.27,78.27,+0.0%,2.27,,0,0.2049,大阴线,sz.301071,力量钻石,8.99,10.79,94.9,48,,,,,
买点1-W3(温和),26.5,2026-05-15,188.58,177.0,-6.1%,2.17,0.82,2,0.1047,大阴线,sz.301392,汇成真空,10.01,12.01,88.9,1101,,,,,
