信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-07-03,7.83,7.61,2.8%,7.88,+3.5%,1.22,1.0,2,sh.600177,雅戈尔,2.3,2.76,87.2,912,,,,,3
买点1-W1(下周一入场),42.0,2026-07-17,10.56,,,10.56,,5.64,,0,sh.600428,中远海特,5.21,6.25,94.1,28,+0.0%,,0.1746,是,
买点1-W1(下周一入场),34.7,2026-07-17,30.89,,,30.89,,1.58,,0,sh.605296,神农集团,4.7,5.64,85.8,261,+0.0%,,0.0715,大阴线,
买点1-W3(温和),27.4,2026-07-03,16.62,,,14.01,,2.47,,2,sh.688057,金达莱,11.22,13.46,87.3,3057,-15.7%,1.21,0.244,是,
买点1-W3(温和),24.9,2026-07-03,43.04,,,38.45,,1.65,,2,sh.688206,概伦电子,14.52,17.42,78.6,1897,-10.7%,1.48,0.0656,大幅回吐/大阴线,
买点1-W3(缩量),34.8,2026-07-03,22.58,,,19.71,,1.59,,2,sh.688207,格灵深瞳,10.15,12.18,84.4,3079,-12.7%,0.78,0.176,是,
买点1-W3(温和),27.3,2026-07-03,136.31,,,130.11,,2.42,,2,sh.688266,泽璟制药,11.59,13.91,93.9,2473,-4.5%,1.03,0.2763,是,
买点1-W3(温和),24.9,2026-07-03,179.4,,,141.66,,1.62,,2,sh.688629,华丰科技,15.24,18.29,92.1,3860,-21.0%,1.08,0.2388,大阴线,
买点1-W3(温和),26.1,2026-07-03,196.86,,,153.39,,2.03,,2,sh.688652,京仪装备,15.12,18.14,90.7,3807,-22.1%,1.03,0.1556,大幅回吐/大阴线,
买点1-W1(下周一入场),36.7,2026-07-17,23.56,,,23.56,,2.22,,0,sh.688758,赛分科技,7.09,8.51,90.9,174,+0.0%,,0.1103,大阴线,
买点1-W1(下周一入场),35.0,2026-07-17,12.23,,,12.23,,1.68,,0,sz.000779,甘咨询,5.13,6.16,94.5,5,+0.0%,,0.1538,大阴线,
买点2,5.0,2026-06-26,5.76,5.14,10.8%,6.04,+17.5%,0.96,2.0,3,sz.002141,贤丰控股,8.82,10.58,96.5,40,,,,,1
买点1-W1(下周一入场),34.8,2026-07-17,29.95,,,29.95,,1.6,,0,sz.002396,星网锐捷,8.87,10.64,91.9,13,+0.0%,,0.0903,大阴线,
买点1-W3(缩量),34.6,2026-07-03,199.5,,,145.0,,1.55,,2,sz.002409,雅克科技,14.2,17.04,96.0,4378,-27.3%,0.77,0.0578,大幅回吐/大阴线,
买点1-W3(温和),25.6,2026-07-03,15.96,,,16.18,,1.87,,2,sz.002860,星帅尔,6.51,7.81,90.5,816,+1.4%,1.33,0.1466,是,
买点1-W1(下周一入场),34.6,2026-07-17,9.1,,,9.1,,1.54,,0,sz.300105,龙源技术,7.38,8.86,91.2,23,+0.0%,,0.1125,是,
买点1-W3(温和),25.1,2026-07-03,24.98,,,21.44,,1.7,,2,sz.300199,翰宇药业,9.07,10.88,83.3,3138,-14.2%,1.15,0.2635,大阴线,
买点1-W3(温和),28.0,2026-06-18,9.47,,,9.61,,2.68,,2,sz.300214,日科化学,13.04,15.65,94.3,797,+1.5%,1.7,0.3208,是,
买点1-W3(温和),26.3,2026-07-03,41.21,,,33.31,,2.08,,2,sz.300540,蜀道装备,14.89,17.87,95.7,3674,-19.2%,0.95,0.3511,大阴线,
买点1-W1(下周一入场),34.6,2026-07-17,61.82,,,61.82,,1.54,,0,sz.301092,争光股份,10.94,13.13,96.3,63,+0.0%,,0.124,大阴线,
买点1-W3(温和),31.0,2026-07-03,94.89,,,96.09,,3.68,,2,sz.301165,锐捷网络,12.43,14.92,96.1,833,+1.3%,1.44,0.4943,是,
买点1-W3(温和),24.6,2026-07-03,53.9,,,32.6,,1.55,,2,sz.301588,美新科技,17.21,20.65,95.9,4946,-39.5%,1.1,0.2957,大阴线,
