信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-07-17,22.4,21.91,2.2%,23.0,+5.0%,0.95,1.0,2,sh.600285,羚锐制药,2.93,3.52,89.7,2415,,,,,5
买点2,5.0,2026-07-17,21.61,20.43,5.5%,23.03,+12.7%,1.51,1.0,2,sh.600882,妙可蓝多,5.46,6.55,82.5,1254,,,,,4
买点1-W3(温和),26.7,2026-07-17,23.5,,,22.15,,2.22,,2,sh.688758,赛分科技,9.95,11.94,93.3,4064,-5.7%,1.44,0.1103,大阴线,
买点1-W3(缩量),38.6,2026-07-17,19.65,,,20.22,,2.86,,2,sz.000739,普洛药业,6.09,7.31,87.5,2338,+2.9%,0.68,0.0917,大幅回吐/大阴线,
买点1-W1(下周一入场),36.5,2026-07-31,12.78,,,12.78,,2.17,,0,sz.000779,甘咨询,7.66,9.19,96.8,1806,+0.0%,,0.2793,是,
买点1-W1(下周一入场),35.8,2026-07-31,9.0,,,9.0,,1.94,,0,sz.000848,承德露露,3.33,4.0,89.5,1028,+0.0%,,0.1222,是,
买点1-W3(温和),24.8,2026-07-17,29.95,,,26.06,,1.6,,2,sz.002396,星网锐捷,13.33,16.0,92.3,4544,-13.0%,1.23,0.0903,大阴线,
买点1-W1(下周一入场),34.8,2026-07-31,37.65,,,37.65,,1.61,,0,sz.002415,海康威视,3.89,4.67,92.8,336,+0.0%,,0.0609,大阴线,
买点1-W1(下周一入场),34.8,2026-07-31,6.21,,,6.21,,1.61,,0,sz.002563,森马服饰,3.76,4.51,91.7,323,+0.0%,,0.123,大阴线,
买点1-W1(下周一入场),36.2,2026-07-31,25.99,,,25.99,,2.06,,0,sz.002832,比音勒芬,6.35,7.62,98.6,77,+0.0%,,0.1394,大阴线,
