信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-07-10,16.84,16.01,4.9%,17.55,+9.6%,1.25,3.0,4,sh.600521,华海药业,3.79,4.55,84.6,2597,,,,,5
买点1-W1(下周一入场),34.8,2026-08-07,13.5,,,13.5,,1.6,,0,sh.601101,昊华能源,6.11,7.33,97.2,423,+0.0%,,0.146,大阴线,
买点1-W1(下周一入场),36.4,2026-08-07,24.82,,,24.82,,2.14,,0,sh.603221,爱丽家居,5.87,7.04,97.8,1,+0.0%,,0.1012,是,
买点2,5.0,2026-07-10,159.68,141.0,11.7%,183.11,+29.9%,1.33,3.0,4,sh.603268,松发股份,5.21,6.25,98.6,537,,,,,1
买点1-W1(下周一入场),36.2,2026-08-07,154.82,,,154.82,,2.06,,0,sh.603259,药明康德,4.51,5.41,95.9,353,+0.0%,,0.2055,是,
买点1-W1(下周一入场),35.9,2026-08-07,22.57,,,22.57,,1.96,,0,sh.603679,华体科技,6.23,7.48,93.4,54,+0.0%,,0.1694,是,
买点1-W1(下周一入场),39.4,2026-08-07,11.28,,,11.28,,3.13,,0,sh.603682,锦和商管,6.29,7.55,96.3,30,+0.0%,,0.175,大阴线,
买点1-W1(下周一入场),36.2,2026-08-07,23.79,,,23.79,,2.08,,0,sh.603995,甬金股份,3.55,4.26,90.9,296,+0.0%,,0.1737,是,
买点1-W1(下周一入场),42.0,2026-08-07,22.84,,,22.84,,5.96,,0,sh.605179,一鸣食品,7.87,9.44,83.9,5,+0.0%,,0.1791,大阴线,
买点2,5.0,2026-07-10,17.98,14.01,22.1%,19.23,+37.3%,1.41,3.0,4,sh.688057,金达莱,7.64,9.17,94.7,572,,,,,2
买点1-W1(下周一入场),35.6,2026-08-07,299.33,,,299.33,,1.85,,0,sh.688235,百济神州,5.6,6.72,82.9,2362,+0.0%,,0.1645,大阴线,
买点1-W1(下周一入场),35.0,2026-08-07,71.02,,,71.02,,1.67,,0,sh.688253,英诺特,5.8,6.96,98.3,158,+0.0%,,0.2427,是,
买点1-W1(下周一入场),35.4,2026-08-07,23.41,,,23.41,,1.81,,0,sz.000739,普洛药业,5.19,6.23,89.7,664,+0.0%,,0.1578,大阴线,
买点1-W1(下周一入场),36.0,2026-08-07,10.41,,,10.41,,1.99,,0,sz.002762,金发拉比,5.27,6.32,94.8,145,+0.0%,,0.2261,是,
买点1-W1(下周一入场),35.0,2026-08-07,58.5,,,58.5,,1.66,,0,sz.002768,国恩股份,6.58,7.9,96.4,281,+0.0%,,0.246,是,
买点2,5.0,2026-07-03,165.8,152.65,7.9%,172.26,+12.8%,1.19,4.0,5,sz.002821,凯莱英,6.5,7.8,96.6,2812,,,,,5
买点1-W1(下周一入场),35.4,2026-08-07,47.5,,,47.5,,1.79,,0,sz.300725,药石科技,5.39,6.47,86.9,245,+0.0%,,0.2971,是,
买点2,5.0,2026-07-24,38.53,36.8,4.5%,45.28,+23.0%,1.34,1.0,2,sz.300759,康龙化成,6.04,7.25,94.5,802,,,,,2
买点2,5.0,2026-07-03,19.21,17.66,8.1%,19.84,+12.3%,1.53,4.0,5,sz.301376,致欧科技,5.16,6.19,76.0,2471,,,,,5
