信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-07-03,124.12,117.89,5.0%,125.0,+6.0%,0.68,2.0,3,sh.603259,药明康德,5.3,6.36,94.0,827,,,,,2
买点2,5.0,2026-07-10,29.29,29.09,0.7%,31.78,+9.2%,1.69,1.0,2,sh.603983,丸美生物,5.65,6.78,81.0,214,,,,,3
买点2,5.0,2026-07-10,267.84,250.51,6.5%,271.0,+8.2%,0.87,1.0,2,sh.688235,百济神州,6.09,7.31,79.6,856,,,,,5
买点1-W2(缩量),48.6,2026-07-17,19.65,,,19.68,,2.86,,1,sz.000739,普洛药业,5.53,6.64,88.3,183,+0.2%,0.68,0.0917,大幅回吐/大阴线,2
买点2,5.0,2026-06-26,71.6,64.8,9.5%,76.64,+18.3%,0.9,3.0,4,sz.002156,通富微电,10.72,12.86,95.0,231,,,,,1
买点2,5.0,2026-07-10,16.32,16.18,0.9%,17.79,+10.0%,1.4,1.0,2,sz.002860,星帅尔,6.3,7.56,93.9,195,,,,,2
