信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W1(下周一入场),38.5,2026-08-14,74.98,74.98,+0.0%,2.83,,0,0.0759,大阴线,sh.603087,甘李药业,4.93,5.92,87.0,1806,,,,,
买点1-W1(下周一入场),35.5,2026-08-14,41.27,41.27,+0.0%,1.82,,0,0.1139,是,sh.603198,迎驾贡酒,4.43,5.32,83.5,2414,,,,,
买点1-W1(下周一入场),35.0,2026-08-14,17.7,17.7,+0.0%,1.66,,0,0.2535,是,sh.603269,海鸥股份,5.63,6.76,98.3,26,,,,,
买点1-W1(下周一入场),35.7,2026-08-14,29.76,29.76,+0.0%,1.92,,0,0.0917,是,sh.603369,今世缘,3.98,4.78,72.8,2982,,,,,
买点1-W2(缩量),46.4,2026-08-07,24.79,27.27,+10.0%,2.14,0.68,1,0.1012,是,sh.603221,爱丽家居,5.81,6.97,98.5,2,,,,,1
买点1-W2(温和),39.4,2026-08-07,11.28,11.84,+5.0%,3.13,0.81,1,0.175,大阴线,sh.603682,锦和商管,7.45,8.94,95.4,503,,,,,1
买点1-W2(缩量),46.0,2026-08-07,6.92,7.33,+5.9%,2.01,0.78,1,0.0501,大幅回吐/大阴线,sh.603956,威派格,6.77,8.12,81.6,1475,,,,,4
买点1-W1(下周一入场),35.9,2026-08-14,18.19,18.19,+0.0%,1.98,,0,0.0998,大阴线,sh.688026,洁特生物,5.38,6.46,74.6,75,,,,,
买点1-W1(下周一入场),40.8,2026-08-14,40.5,40.5,+0.0%,3.61,,0,0.2159,是,sh.688046,药康生物,8.07,9.68,99.0,17,,,,,
买点1-W1(下周一入场),34.9,2026-08-14,69.37,69.37,+0.0%,1.64,,0,0.2726,大阴线,sh.688115,思林杰,6.91,8.29,98.3,40,,,,,
