信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数
买点1-W3(温和),29.2,2026-04-17,21.71,27.58,+27.0%,3.06,1.13,2,0.2183,大阴线,sh.600338,西藏珠峰,6.23,7.48,95.4,54,,,,
买点2,5.0,2026-04-17,9.99,10.75,,0.86,,2,,,sh.600110,诺德股份,6.99,8.39,89.4,1024,9.76,2.3%,+10.1%,1.0
买点1-W2(温和),36.3,2026-04-24,25.89,27.89,+7.7%,2.1,0.91,1,0.1914,是,sh.600330,天通股份,6.87,8.24,98.7,28,,,,
买点1-W2(缩量),47.6,2026-04-24,26.62,27.37,+2.8%,2.52,0.73,1,0.143,大阴线,sh.600206,有研新材,5.07,6.08,75.9,164,,,,
买点1-W2(缩量),50.5,2026-04-24,22.85,24.4,+6.8%,3.49,0.41,1,0.1471,大阴线,sh.600234,科新发展,6.53,7.84,95.1,53,,,,
买点1-W2(缩量),48.8,2026-04-24,10.95,11.06,+1.0%,2.92,0.48,1,0.1954,大阴线,sh.600510,黑牡丹,5.1,6.12,81.5,136,,,,
买点1-W2(缩量),47.5,2026-04-24,13.71,14.5,+5.8%,2.49,0.53,1,0.1435,大阴线,sh.600683,京投发展,6.55,7.86,98.2,64,,,,
买点1-W3(温和),29.6,2026-04-17,22.47,27.2,+21.1%,3.21,0.85,2,0.2767,是,sh.600773,西藏城投,6.69,8.03,97.1,94,,,,
买点1-W3(温和),32.0,2026-04-17,6.91,6.5,-5.9%,7.06,1.29,2,0.3683,是,sh.601778,晶科科技,8.85,10.62,94.7,3211,,,,
买点2,5.0,2026-03-27,23.85,25.38,,0.92,,5,,,sh.601858,中国科传,4.15,4.98,81.9,264,21.68,9.1%,+17.1%,4.0
买点1-W3(温和),26.5,2026-04-17,12.94,13.82,+6.8%,2.18,1.07,2,0.1828,是,sh.603002,宏昌电子,7.33,8.8,95.1,998,,,,
买点1-W3(温和),26.6,2026-04-17,105.3,119.1,+13.1%,2.21,0.84,2,0.2971,是,sh.603256,宏和科技,7.37,8.84,99.5,288,,,,
买点1-W2(温和),41.4,2026-04-24,146.41,149.5,+2.1%,3.8,0.83,1,0.2078,是,sh.603268,松发股份,5.53,6.64,98.6,90,,,,
买点1-W1(下周一入场),38.9,2026-04-30,14.26,14.26,+0.0%,2.96,,0,0.252,大阴线,sh.603318,水发燃气,5.9,7.08,96.4,2,,,,
买点1-W1(下周一入场),42.0,2026-04-30,17.13,17.13,+0.0%,5.23,,0,0.2236,是,sh.603317,天味食品,3.57,4.28,87.2,95,,,,
买点1-W1(下周一入场),38.5,2026-04-30,43.09,43.09,+0.0%,2.84,,0,0.1825,大阴线,sh.603353,和顺石油,5.65,6.78,95.9,523,,,,
买点1-W3(温和),26.2,2026-04-17,34.37,33.79,-1.7%,2.05,0.83,2,0.248,是,sh.603826,坤彩科技,6.39,7.67,94.4,2850,,,,
买点2,5.0,2026-04-17,51.67,52.36,,0.5,,2,,,sh.603897,长城科技,6.79,8.15,95.8,1633,49.8,3.6%,+5.1%,1.0
买点2,5.0,2026-04-03,20.96,25.98,,0.75,,4,,,sh.605299,舒华体育,6.69,8.03,99.0,51,18.66,11.0%,+39.2%,3.0
买点1-W3(温和),29.6,2026-04-17,51.32,52.6,+2.5%,3.19,0.84,2,0.2337,是,sh.688081,兴图新科,6.15,7.38,92.6,1632,,,,
买点1-W1(下周一入场),41.4,2026-04-30,21.92,21.92,+0.0%,3.8,,0,0.2225,是,sh.688101,三达膜,4.25,5.1,78.4,80,,,,
买点1-W3(温和),31.4,2026-04-17,43.38,52.05,+20.0%,3.8,1.19,2,0.2043,是,sh.688253,英诺特,5.81,6.97,92.0,123,,,,
买点1-W1(下周一入场),39.2,2026-04-30,24.72,24.72,+0.0%,3.06,,0,0.1638,是,sh.688371,菲沃泰,3.97,4.76,63.9,306,,,,
