信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数
买点2,5.0,2026-04-17,50.06,50.18,,0.88,,2,,,sh.688388,嘉元科技,5.66,6.79,74.2,1998,46.06,8.0%,+8.9%,1.0
买点1-W3(温和),27.8,2026-04-17,28.0,31.91,+14.0%,2.61,1.08,2,0.0699,大阴线,sh.688398,赛特新材,5.53,6.64,90.9,341,,,,
买点1-W2(缩量),49.8,2026-04-24,65.0,65.28,+0.4%,3.28,0.66,1,0.1386,大幅回吐/大阴线,sh.688401,路维光电,5.84,7.01,83.0,219,,,,
买点1-W2(缩量),48.5,2026-04-24,76.6,83.9,+9.5%,2.83,0.58,1,0.1541,是,sh.688508,芯朋微,5.82,6.98,82.2,101,,,,
买点1-W1(下周一入场),38.0,2026-04-30,172.6,172.6,+0.0%,2.66,,0,0.2942,是,sh.688515,裕太微,4.87,5.84,89.1,59,,,,
买点1-W2(缩量),47.7,2026-04-24,466.01,474.5,+1.8%,2.58,0.56,1,0.1335,大阴线,sh.688502,茂莱光学,6.7,8.04,81.5,56,,,,
买点1-W1(下周一入场),38.9,2026-04-30,12.29,12.29,+0.0%,2.97,,0,0.2427,是,sh.688549,中巨芯,4.35,5.22,74.4,65,,,,
买点1-W2(缩量),48.9,2026-04-24,109.5,121.48,+10.9%,2.95,0.7,1,0.2335,大阴线,sh.688661,和林微纳,7.71,9.25,98.2,26,,,,
买点1-W3(缩量),38.6,2026-04-17,145.22,148.26,+2.1%,2.85,0.66,2,0.2971,是,sh.688667,菱电电控,7.77,9.32,97.1,836,,,,
买点2,5.0,2026-03-27,9.36,9.63,,1.87,,5,,,sz.000042,中洲控股,2.49,2.99,78.5,885,8.66,7.5%,+11.2%,4.0
买点1-W1(下周一入场),36.3,2026-04-30,19.82,19.82,+0.0%,2.09,,0,0.2049,大阴线,sz.000066,中国长城,4.6,5.52,73.4,107,,,,
买点2,5.0,2026-04-17,45.4,51.48,,0.91,,2,,,sz.000688,国城矿业,6.5,7.8,99.1,638,43.91,3.3%,+17.2%,1.0
买点1-W1(下周一入场),37.0,2026-04-30,23.16,23.16,+0.0%,2.32,,0,0.0883,大阴线,sz.001298,好上好,3.44,4.13,57.1,648,,,,
买点2,5.0,2026-04-17,513.69,524.81,,0.83,,2,,,sz.001309,德明利,5.63,6.76,97.5,2106,489.88,4.6%,+7.1%,1.0
买点1-W2(温和),42.0,2026-04-24,48.46,50.72,+4.7%,3.99,1.14,1,0.1125,大阴线,sz.001314,亿道信息,3.37,4.04,57.6,318,,,,
买点2,5.0,2026-04-17,13.71,16.49,,1.02,,2,,,sz.002181,粤传媒,5.84,7.01,90.6,188,13.04,4.9%,+26.5%,1.0
买点1-W3(缩量),37.8,2026-04-17,50.3,60.09,+19.5%,2.59,0.68,2,0.2334,是,sz.002240,盛新锂能,5.66,6.79,97.8,194,,,,
买点1-W3(温和),27.1,2026-04-17,74.5,81.28,+9.1%,2.37,1.14,2,0.0991,大阴线,sz.002290,禾盛新材,6.58,7.9,96.3,365,,,,
买点1-W2(温和),42.0,2026-04-24,22.3,24.5,+9.9%,4.11,0.93,1,0.2606,大阴线,sz.002297,博云新材,7.94,9.53,98.7,14,,,,
买点1-W3(温和),32.0,2026-04-17,40.91,40.79,-0.3%,9.46,1.03,2,0.1649,大阴线,sz.002364,中恒电气,6.42,7.7,91.5,3802,,,,
买点1-W3(温和),28.6,2026-04-17,26.15,27.71,+6.0%,2.88,1.02,2,0.1399,大阴线,sz.002436,兴森科技,5.96,7.15,81.7,588,,,,
买点1-W3(温和),26.6,2026-04-17,28.09,30.67,+9.2%,2.2,0.8,2,0.1612,是,sz.002497,雅化集团,5.23,6.28,89.2,496,,,,
买点2,5.0,2026-04-17,8.45,9.15,,1.07,,2,,,sz.002685,华东重机,4.79,5.75,76.1,838,7.96,5.8%,+14.9%,1.0
买点1-W1(下周一入场),36.6,2026-04-30,51.16,51.16,+0.0%,2.2,,0,0.2632,是,sz.002785,万里石,4.52,5.42,86.1,214,,,,
买点2,5.0,2026-04-03,122.06,125.56,,1.24,,4,,,sz.002821,凯莱英,4.28,5.14,80.8,1029,114.41,6.3%,+9.7%,3.0
买点2,5.0,2026-04-17,50.22,51.0,,0.93,,2,,,sz.002859,洁美科技,5.25,6.3,92.8,673,45.98,8.4%,+10.9%,1.0
买点1-W3(温和),29.4,2026-04-17,16.28,16.45,+1.0%,3.13,0.8,2,0.314,是,sz.300051,琏升科技,8.54,10.25,97.9,2046,,,,
买点1-W3(缩量),42.0,2026-04-17,15.27,16.66,+9.1%,4.86,0.68,2,0.1447,大阴线,sz.300137,先河环保,7.68,9.22,96.1,1671,,,,
买点1-W1(下周一入场),36.2,2026-04-30,27.72,27.72,+0.0%,2.06,,0,0.1912,是,sz.300302,同有科技,5.16,6.19,80.4,268,,,,
买点1-W3(缩量),36.3,2026-04-17,87.79,110.5,+25.9%,2.11,0.76,2,0.2854,是,sz.300390,天华新能,7.05,8.46,99.7,92,,,,
买点1-W3(缩量),36.2,2026-04-17,68.98,86.1,+24.8%,2.06,0.7,2,0.2064,是,sz.300438,鹏辉能源,5.74,6.89,93.0,126,,,,
买点1-W1(下周一入场),41.9,2026-04-30,37.29,37.29,+0.0%,3.97,,0,0.1891,是,sz.300467,迅游科技,4.7,5.64,87.8,364,,,,
买点1-W3(温和),29.5,2026-04-17,35.07,35.76,+2.0%,3.15,0.87,2,0.1808,是,sz.300657,弘信电子,5.54,6.65,70.2,2140,,,,
买点1-W3(温和),27.0,2026-04-17,34.91,39.25,+12.4%,2.33,1.15,2,0.1758,是,sz.300696,爱乐达,5.55,6.66,88.9,397,,,,
买点2,5.0,2026-04-17,95.9,99.23,,0.95,,2,,,sz.300835,龙磁科技,5.26,6.31,92.5,1434,95.59,0.3%,+3.8%,1.0
买点2,5.0,2026-04-17,69.17,82.34,,1.21,,2,,,sz.300843,胜蓝股份,5.67,6.8,92.7,186,68.27,1.3%,+20.6%,1.0
买点1-W1(下周一入场),38.1,2026-04-30,19.79,19.79,+0.0%,2.7,,0,0.1553,是,sz.300861,美畅股份,3.26,3.91,74.8,293,,,,
买点1-W1(下周一入场),36.2,2026-04-30,84.75,84.75,+0.0%,2.07,,0,0.0728,大阴线,sz.301035,润丰股份,3.28,3.94,70.3,852,,,,
买点1-W1(下周一入场),36.3,2026-04-30,37.35,37.35,+0.0%,2.11,,0,0.273,大阴线,sz.301176,逸豪新材,6.24,7.49,84.6,115,,,,
买点2,5.0,2026-04-17,68.26,69.16,,0.72,,2,,,sz.301182,凯旺科技,5.48,6.58,95.0,2410,62.88,7.9%,+10.0%,1.0
买点2,5.0,2026-04-17,117.11,118.5,,0.63,,2,,,sz.301196,唯科科技,6.09,7.31,84.7,2762,114.7,2.1%,+3.3%,1.0
买点2,5.0,2026-04-17,168.88,170.07,,0.77,,2,,,sz.301369,联动科技,4.79,5.75,95.8,3153,166.11,1.6%,+2.4%,1.0
买点2,5.0,2026-04-17,225.22,234.66,,0.68,,2,,,sz.301377,鼎泰高科,6.58,7.9,95.2,819,216.68,3.8%,+8.3%,1.0
买点2,5.0,2026-04-17,219.2,229.56,,0.73,,2,,,sz.301489,思泉新材,6.01,7.21,79.0,684,213.89,2.4%,+7.3%,1.0
