信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-06-05,55.42,51.3,7.4%,62.12,+21.1%,0.89,1.0,2,sh.600105,永鼎股份,7.5,9.0,98.3,467,,,,,1
买点1-W3(温和),32.0,2026-06-05,3.44,,,3.58,,4.1,,2,sh.600162,香江控股,12.13,14.56,92.7,1046,+4.1%,1.12,0.233,是,
买点2,5.0,2026-05-29,13.43,12.42,7.5%,14.4,+15.9%,1.4,2.0,3,sh.600601,方正科技,5.9,7.08,76.7,477,,,,,5
买点2,5.0,2026-05-15,28.88,25.7,11.0%,33.45,+30.2%,1.06,4.0,5,sh.600641,先导基电,5.72,6.86,93.8,192,,,,,2
买点2,5.0,2026-05-29,11.58,10.92,5.7%,13.14,+20.3%,1.52,2.0,3,sh.600888,新疆众和,6.66,7.99,90.5,256,,,,,2
买点2,5.0,2026-06-05,74.06,70.13,5.3%,78.08,+11.3%,1.16,1.0,2,sh.601138,工业富联,5.73,6.88,81.1,1780,,,,,4
买点2,5.0,2026-06-05,441.67,436.5,1.2%,471.55,+8.0%,0.74,1.0,2,sh.601869,长飞光纤,7.89,9.47,99.7,1164,,,,,2
买点2,5.0,2026-06-05,10.6,9.64,9.1%,11.89,+23.3%,1.16,1.0,2,sh.603001,奥康国际,6.43,7.72,84.8,644,,,,,4
买点2,5.0,2026-06-05,32.7,31.11,4.9%,39.55,+27.1%,0.7,1.0,2,sh.603011,合锻智能,9.38,11.26,91.3,252,,,,,2
买点2,5.0,2026-05-22,315.5,295.0,6.5%,350.8,+18.9%,0.84,3.0,4,sh.603061,金海通,6.57,7.88,99.0,639,,,,,1
买点1-W1(下周一入场),42.0,2026-06-18,15.62,,,15.62,,6.11,,0,sh.603065,宿迁联盛,7.27,8.72,92.6,6,+0.0%,,0.1485,是,
买点1-W2(温和),39.0,2026-06-12,22.61,,,23.06,,3.0,,1,sh.603155,新亚强,7.15,8.58,80.4,386,+2.0%,0.99,0.1396,大幅回吐/大阴线,4
