信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W2(温和),35.3,2026-08-28,27.82,28.6,+2.8%,1.75,0.81,1,0.0808,是,sh.600060,海信视像,3.05,3.66,93.0,439,,,,,2
买点2,5.0,2026-07-31,39.62,41.69,,1.37,,5,,,sh.600036,招商银行,1.57,1.88,83.6,912,38.46,2.9%,+8.4%,4.0,4
买点1-W1(下周一入场),35.1,2026-09-04,8.66,8.66,+0.0%,1.71,,0,0.0548,大幅回吐/大阴线,sh.600354,敦煌种业,8.03,9.64,88.7,27,,,,,
买点1-W2(温和),38.0,2026-08-28,14.33,14.59,+1.8%,2.66,0.95,1,0.1283,是,sh.601038,一拖股份,3.53,4.24,74.0,231,,,,,3
买点1-W1(下周一入场),36.1,2026-09-04,7.21,7.21,+0.0%,2.05,,0,0.0941,是,sh.601665,齐鲁银行,2.35,2.82,91.7,475,,,,,
买点2,5.0,2026-08-21,13.09,13.46,,0.98,,2,,,sh.601886,江河集团,5.78,6.94,96.8,1954,12.91,1.4%,+4.3%,1.0,3
买点2,5.0,2026-08-07,25.54,25.9,,1.44,,4,,,sh.603110,东方材料,5.34,6.41,96.3,2439,24.03,5.9%,+7.8%,3.0,5
买点1-W1(下周一入场),35.4,2026-09-04,14.64,14.64,+0.0%,1.79,,0,0.1546,大阴线,sh.603162,海通发展,5.45,6.54,96.4,130,,,,,
买点1-W1(下周一入场),37.2,2026-09-04,17.25,17.25,+0.0%,2.4,,0,0.098,是,sh.603161,科华控股,3.95,4.74,86.9,706,,,,,
买点1-W1(下周一入场),36.8,2026-09-04,62.17,62.17,+0.0%,2.27,,0,0.1094,是,sh.603236,移远通信,4.89,5.87,86.2,736,,,,,
买点1-W1(下周一入场),42.0,2026-09-04,27.41,27.41,+0.0%,4.68,,0,0.2358,是,sh.603269,海鸥股份,6.02,7.22,99.5,8,,,,,
买点1-W1(下周一入场),41.8,2026-09-04,10.57,10.57,+0.0%,3.92,,0,0.1033,大阴线,sh.603559,中通国脉,6.16,7.39,95.0,162,,,,,
买点1-W1(下周一入场),37.9,2026-09-04,17.02,17.02,+0.0%,2.64,,0,0.2071,是,sh.603819,神力股份,4.11,4.93,93.3,61,,,,,
买点1-W1(下周一入场),39.8,2026-09-04,33.28,33.28,+0.0%,3.27,,0,0.1907,是,sh.603983,丸美生物,4.13,4.96,90.3,73,,,,,
买点1-W1(下周一入场),38.2,2026-09-04,35.82,35.82,+0.0%,2.73,,0,0.2284,是,sh.603976,正川股份,4.35,5.22,98.2,39,,,,,
买点1-W1(下周一入场),39.8,2026-09-04,7.94,7.94,+0.0%,3.26,,0,0.1183,大幅回吐/大阴线,sh.603980,吉华集团,5.67,6.8,85.5,112,,,,,
买点1-W1(下周一入场),35.5,2026-09-04,180.45,180.45,+0.0%,1.84,,0,0.116,大阴线,sh.688002,睿创微纳,5.11,6.13,98.0,346,,,,,
买点1-W1(下周一入场),40.1,2026-09-04,20.65,20.65,+0.0%,3.36,,0,0.2508,是,sh.688026,洁特生物,6.82,8.18,88.6,59,,,,,
买点1-W1(下周一入场),35.4,2026-09-04,51.4,51.4,+0.0%,1.79,,0,0.1965,是,sh.688061,灿瑞科技,7.23,8.68,96.1,20,,,,,
买点1-W2(缩量),45.1,2026-08-28,128.6,132.0,+2.6%,1.71,0.64,1,0.1042,大阴线,sh.688169,石头科技,4.97,5.96,76.8,297,,,,,3
买点1-W1(下周一入场),35.7,2026-09-04,34.5,34.5,+0.0%,1.9,,0,0.1679,大阴线,sh.688209,英集芯,6.31,7.57,97.2,10,,,,,
