信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W1(下周一入场),34.8,2026-09-04,69.0,69.0,+0.0%,1.62,,0,0.081,大阴线,sh.688448,磁谷科技,6.51,7.81,96.5,911,,,,,
买点2,5.0,2026-08-21,83.12,95.47,,1.32,,2,,,sh.688485,九州一轨,8.33,10.0,99.9,235,83.0,0.1%,+15.0%,1.0,1
买点1-W1(下周一入场),36.0,2026-09-04,33.1,33.1,+0.0%,1.99,,0,0.1493,是,sh.688600,皖仪科技,6.19,7.43,91.2,78,,,,,
买点1-W2(缩量),45.1,2026-08-28,12.05,12.23,+1.5%,1.71,0.66,1,0.1531,是,sz.002003,伟星股份,3.23,3.88,91.5,164,,,,,2
买点1-W1(下周一入场),42.0,2026-09-04,7.1,7.1,+0.0%,37.31,,0,0.2241,大阴线,sz.002084,海鸥住工,6.17,7.4,98.1,1,,,,,
买点2,5.0,2026-08-21,34.06,34.5,,1.09,,2,,,sz.002142,宁波银行,1.87,2.24,87.4,2535,33.86,0.6%,+1.9%,1.0,5
买点1-W2(温和),36.0,2026-08-28,53.33,58.26,+9.2%,2.0,1.13,1,0.1354,大阴线,sz.002536,飞龙股份,7.45,8.94,96.6,74,,,,,1
买点2,5.0,2026-08-14,16.07,16.78,,3.17,,3,,,sz.002612,朗姿股份,3.97,4.76,80.1,360,14.94,7.0%,+12.3%,2.0,4
买点1-W1(下周一入场),42.0,2026-09-04,17.95,17.95,+0.0%,16.76,,0,0.2261,大阴线,sz.002855,捷荣技术,6.54,7.85,95.4,3,,,,,
买点1-W1(下周一入场),36.6,2026-09-04,38.93,38.93,+0.0%,2.21,,0,0.1576,大阴线,sz.002955,鸿合科技,5.19,6.23,96.0,477,,,,,
买点1-W2(温和),35.5,2026-08-28,17.38,18.66,+7.4%,1.82,0.81,1,0.089,大幅回吐/大阴线,sz.300192,科德教育,6.32,7.58,93.7,166,,,,,2
买点1-W2(温和),37.6,2026-08-28,27.74,28.95,+4.4%,2.53,0.85,1,0.151,大阴线,sz.300864,南大环境,6.78,8.14,93.7,110,,,,,2
买点1-W1(下周一入场),38.2,2026-09-04,29.92,29.92,+0.0%,2.74,,0,0.0928,是,sz.300860,锋尚文化,3.41,4.09,88.0,531,,,,,
买点1-W1(下周一入场),35.8,2026-09-04,135.91,135.91,+0.0%,1.92,,0,0.0952,是,sz.300866,安克创新,3.87,4.64,94.7,242,,,,,
买点2,5.0,2026-08-07,16.06,16.5,,0.87,,4,,,sz.300981,中红医疗,6.06,7.27,83.2,381,14.73,8.3%,+12.0%,3.0,4
买点1-W1(下周一入场),35.0,2026-09-04,45.1,45.1,+0.0%,1.67,,0,0.19,大阴线,sz.301008,宏昌科技,7.86,9.43,95.2,389,,,,,
买点2,5.0,2026-08-21,39.5,45.4,,0.99,,2,,,sz.301122,采纳股份,6.62,7.94,92.7,229,38.35,2.9%,+18.4%,1.0,2
买点2,5.0,2026-08-21,35.77,39.72,,1.28,,2,,,sz.301282,金禄电子,7.53,9.04,97.8,444,33.88,5.3%,+17.2%,1.0,1
