信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,回踩低点,回踩幅度,距低点涨幅,回踩周数
买点1-W2(温和),38.6,2026/4/17,26.15,28.52,9.10%,2.88,1.02,1,0.1399,大阴线,sz.002436,兴森科技,5.31,6.37,,,,
买点1-W2(温和),36.6,2026/4/17,28.09,29.6,5.40%,2.2,0.8,1,0.1612,是,sz.002497,雅化集团,4.61,5.53,,,,
买点1-W1(下周一入场),37.8,2026/4/24,56.08,56.08,0.00%,2.61,,0,0.2549,是,sz.300613,富瀚微,3.31,3.97,,,,
买点1-W3(温和),28,2026/4/10,67.38,83.3,23.60%,2.66,0.88,2,0.2499,是,sz.002947,恒铭达,5.37,6.44,,,,
买点1-W2(缩量),52,2026/4/17,15.27,16.26,6.50%,4.86,0.68,1,0.1447,大阴线,sz.300137,先河环保,7.15,8.58,,,,
买点1-W2(缩量),46.3,2026/4/17,87.79,91,3.70%,2.11,0.76,1,0.2854,是,sz.300390,天华新能,7.6,9.12,,,,
买点2,5,2026/4/10,38.95,42.84,,1.37,,2,,,sz.301239,普瑞眼科,4.96,5.95,37.24,4.40%,15.00%,1
买点1-W1(下周一入场),39.9,2026/4/24,55.24,55.24,0.00%,3.3,,0,0.128,大阴线,sz.301607,富特科技,4.21,5.05,,,,
买点1-W2(缩量),46.2,2026/4/17,68.98,69.3,0.50%,2.06,0.7,1,0.2064,是,sz.300438,鹏辉能源,5.87,7.04,,,,
买点1-W2(温和),39.5,2026/4/17,35.07,35.87,2.30%,3.15,0.87,1,0.1808,是,sz.300657,弘信电子,5.2,6.24,,,,
买点1-W2(温和),37,2026/4/17,34.91,37.64,7.80%,2.33,1.15,1,0.1758,是,sz.300696,爱乐达,5.76,6.91,,,,
