信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W1(下周一入场),36.0,2026-08-28,53.33,53.33,+0.0%,2.0,,0,0.1354,大阴线,sz.002536,飞龙股份,6.8,8.16,94.6,62,,,,,
买点2,5.0,2026-08-14,56.74,58.69,,0.67,,2,,,sz.002827,高争民爆,6.72,8.06,96.6,1452,55.0,3.1%,+6.7%,1.0,3
买点1-W2(缩量),45.1,2026-08-21,18.35,18.73,+2.1%,1.7,0.65,1,0.0877,大幅回吐/大阴线,sz.002849,威星智能,4.41,5.29,72.2,349,,,,,4
买点1-W3(缩量),40.8,2026-08-14,48.0,49.89,+3.9%,3.61,0.75,2,0.1779,大阴线,sz.002870,香山股份,4.83,5.8,91.8,1280,,,,,
买点1-W2(温和),35.0,2026-08-21,11.75,12.15,+3.4%,1.66,0.8,1,0.1095,大阴线,sz.300154,瑞凌股份,5.89,7.07,93.2,205,,,,,2
买点1-W1(下周一入场),35.5,2026-08-28,17.38,17.38,+0.0%,1.82,,0,0.089,大幅回吐/大阴线,sz.300192,科德教育,6.2,7.44,89.8,124,,,,,
买点1-W3(缩量),35.3,2026-08-14,21.87,19.75,-9.7%,1.78,0.75,2,0.07,大阴线,sz.300363,博腾股份,7.52,9.02,68.7,4674,,,,,
买点1-W1(下周一入场),35.3,2026-08-28,18.27,18.27,+0.0%,1.77,,0,0.2156,是,sz.300562,乐心医疗,5.82,6.98,91.6,404,,,,,
买点1-W2(缩量),51.9,2026-08-21,84.1,91.6,+8.9%,3.95,0.79,1,0.2485,大阴线,sz.300684,中石科技,8.84,10.61,97.4,27,,,,,1
买点1-W1(下周一入场),36.2,2026-08-28,39.57,39.57,+0.0%,2.08,,0,0.0919,是,sz.300833,浩洋股份,3.43,4.12,84.6,963,,,,,
买点1-W1(下周一入场),37.6,2026-08-28,27.74,27.74,+0.0%,2.53,,0,0.151,大阴线,sz.300864,南大环境,5.03,6.04,90.8,15,,,,,
买点1-W1(下周一入场),37.0,2026-08-28,31.44,31.44,+0.0%,2.34,,0,0.164,是,sz.300927,江天化学,7.61,9.13,63.4,16,,,,,
买点1-W3(温和),32.0,2026-08-14,90.21,82.5,-8.5%,4.55,1.04,2,0.3932,是,sz.301080,百普赛斯,10.81,12.97,98.1,4580,,,,,
买点1-W1(下周一入场),35.9,2026-08-28,48.45,48.45,+0.0%,1.95,,0,0.1462,大阴线,sz.301218,华是科技,8.88,10.66,90.6,1961,,,,,
