信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-07-31,6.37,6.22,2.4%,6.52,+4.8%,1.67,2.0,3,sh.601665,齐鲁银行,1.88,2.26,89.1,809,,,,,3
买点1-W2(温和),42.0,2026-08-14,11.75,,,13.09,,8.96,,1,sh.601886,江河集团,6.03,7.24,95.0,7,+11.4%,1.45,0.4208,是,1
买点2,5.0,2026-07-31,306.22,284.99,6.9%,309.01,+8.4%,1.39,2.0,3,sh.603129,春风动力,4.19,5.03,92.1,701,,,,,2
买点1-W3(温和),29.4,2026-08-07,11.28,,,11.42,,3.13,,2,sh.603682,锦和商管,8.13,9.76,94.6,1765,+1.2%,0.81,0.175,大阴线,
买点2,5.0,2026-07-24,75.91,46.8,38.3%,77.75,+66.1%,0.87,3.0,4,sh.603823,百合花,9.19,11.03,99.9,136,,,,,1
买点1-W3(缩量),36.0,2026-08-07,6.92,,,6.48,,2.01,,2,sh.603956,威派格,7.08,8.5,75.3,4308,-6.4%,0.78,0.0501,大幅回吐/大阴线,
买点1-W1(下周一入场),36.6,2026-08-21,12.94,,,12.94,,2.19,,0,sh.605008,长鸿高科,3.25,3.9,80.0,257,+0.0%,,0.0503,是,
买点1-W2(温和),42.0,2026-08-14,67.0,,,74.79,,4.38,,1,sh.688114,华大智造,8.28,9.94,89.3,22,+11.6%,0.83,0.2447,是,1
买点1-W2(温和),35.5,2026-08-14,23.99,,,26.39,,1.85,,1,sh.688296,和达科技,7.51,9.01,96.7,25,+10.0%,1.46,0.2436,是,1
买点1-W1(下周一入场),34.8,2026-08-21,83.12,,,83.12,,1.61,,0,sh.688485,九州一轨,8.52,10.22,99.8,28,+0.0%,,0.1528,大阴线,
买点1-W1(下周一入场),34.9,2026-08-21,20.8,,,20.8,,1.65,,0,sz.000703,恒逸石化,5.29,6.35,96.9,144,+0.0%,,0.2396,是,
买点1-W1(下周一入场),36.0,2026-08-21,28.65,,,28.65,,1.99,,0,sz.001210,金房能源,5.63,6.76,97.5,35,+0.0%,,0.1918,大阴线,
买点2,5.0,2026-08-07,11.2,11.07,1.2%,11.31,+2.2%,0.9,1.0,2,sz.002293,罗莱生活,2.6,3.12,88.4,1839,,,,,3
买点1-W2(缩量),44.9,2026-08-14,5.87,,,6.06,,1.62,,1,sz.002388,新亚制程,5.12,6.14,85.3,167,+3.2%,0.62,0.1245,大阴线,2
买点1-W3(缩量),35.0,2026-08-07,58.5,,,65.21,,1.66,,2,sz.002768,国恩股份,5.25,6.3,97.4,267,+11.5%,0.59,0.246,是,
买点1-W1(下周一入场),35.1,2026-08-21,18.35,,,18.35,,1.7,,0,sz.002849,威星智能,5.47,6.56,71.2,377,+0.0%,,0.0877,大幅回吐/大阴线,
买点1-W2(缩量),50.8,2026-08-14,48.0,,,48.2,,3.61,,1,sz.002870,香山股份,4.56,5.47,91.2,129,+0.4%,0.75,0.1779,大阴线,2
买点1-W1(下周一入场),36.7,2026-08-21,16.1,,,16.1,,2.24,,0,sz.300142,沃森生物,4.65,5.58,93.2,84,+0.0%,,0.2123,是,
买点1-W1(下周一入场),35.0,2026-08-21,11.75,,,11.75,,1.66,,0,sz.300154,瑞凌股份,5.29,6.35,92.3,66,+0.0%,,0.1095,大阴线,
买点1-W3(温和),26.9,2026-08-07,37.19,,,32.3,,2.31,,2,sz.300209,行云科技,11.58,13.9,99.9,4915,-13.1%,0.99,0.333,大阴线,
买点1-W2(缩量),45.3,2026-08-14,21.87,,,21.89,,1.78,,1,sz.300363,博腾股份,7.97,9.56,73.7,501,+0.1%,0.75,0.07,大阴线,5
买点1-W1(下周一入场),35.7,2026-08-21,49.0,,,49.0,,1.89,,0,sz.300765,石药创新,7.62,9.14,95.4,116,+0.0%,,0.2019,是,
买点1-W2(温和),42.0,2026-08-14,90.21,,,98.92,,4.55,,1,sz.301080,百普赛斯,9.28,11.14,99.0,10,+9.7%,1.04,0.3932,是,1
买点1-W1(下周一入场),35.1,2026-08-21,39.5,,,39.5,,1.69,,0,sz.301122,采纳股份,6.13,7.36,87.3,67,+0.0%,,0.1273,大阴线,
买点1-W1(下周一入场),38.7,2026-08-21,35.77,,,35.77,,2.92,,0,sz.301282,金禄电子,7.33,8.8,96.5,14,+0.0%,,0.2204,大阴线,
