信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W3(温和),25.3,2026-08-28,27.82,27.96,+0.5%,1.75,0.81,2,0.0808,是,sh.600060,海信视像,3.12,3.74,91.5,1206,,,,,
买点1-W2(缩量),51.4,2026-09-04,21.88,22.52,+2.9%,3.79,0.48,1,0.0529,大阴线,sh.600671,天目药业,4.8,5.76,80.0,336,,,,,4
买点1-W3(温和),28.0,2026-08-28,14.33,14.78,+3.1%,2.66,0.95,2,0.1283,是,sh.601038,一拖股份,3.53,4.24,85.5,758,,,,,
买点1-W1(下周一入场),37.2,2026-09-11,16.35,16.35,+0.0%,2.41,,0,0.2925,是,sh.601086,国芳集团,6.18,7.42,98.2,1,,,,,
买点2,5.0,2026-08-14,98.01,111.75,,1.31,,4,,,sh.603228,景旺电子,5.51,6.61,98.3,84,93.9,4.2%,+19.0%,3.0,1
买点2,5.0,2026-08-14,12.57,13.27,,0.94,,4,,,sh.603466,风语筑,5.72,6.86,93.9,83,11.15,11.3%,+19.0%,3.0,1
买点1-W1(下周一入场),36.4,2026-09-11,25.97,25.97,+0.0%,2.14,,0,0.2018,是,sh.603679,华体科技,5.71,6.85,97.2,374,,,,,
买点1-W2(缩量),50.1,2026-09-04,20.65,21.21,+2.7%,3.36,0.78,1,0.2508,是,sh.688026,洁特生物,7.07,8.48,91.2,35,,,,,1
买点1-W3(缩量),35.1,2026-08-28,128.6,119.62,-7.0%,1.71,0.64,2,0.1042,大阴线,sh.688169,石头科技,5.26,6.31,67.5,3891,,,,,
买点1-W3(温和),25.7,2026-08-28,86.52,74.2,-14.2%,1.9,1.26,2,0.1291,大阴线,sh.688318,财富趋势,6.95,8.34,63.4,4859,,,,,
买点1-W1(下周一入场),40.1,2026-09-11,15.21,15.21,+0.0%,3.35,,0,0.1419,是,sz.000722,湖南发展,3.52,4.22,81.1,117,,,,,
买点1-W1(下周一入场),38.2,2026-09-11,8.13,8.13,+0.0%,2.74,,0,0.2783,大阴线,sz.000759,中百集团,7.47,8.96,94.7,33,,,,,
买点1-W3(缩量),35.1,2026-08-28,12.05,11.31,-6.1%,1.71,0.66,2,0.1531,是,sz.002003,伟星股份,3.71,4.45,87.1,3606,,,,,
买点1-W1(下周一入场),35.9,2026-09-11,13.62,13.62,+0.0%,1.95,,0,0.1182,是,sz.002174,游族网络,3.63,4.36,94.0,143,,,,,
买点1-W2(缩量),46.4,2026-09-04,8.48,8.52,+0.5%,2.14,0.73,1,0.0508,大幅回吐/大阴线,sz.002292,奥飞娱乐,3.76,4.51,82.4,510,,,,,4
买点1-W3(温和),26.0,2026-08-28,53.33,53.3,-0.1%,2.0,1.13,2,0.1354,大阴线,sz.002536,飞龙股份,8.0,9.6,97.1,1364,,,,,
买点1-W1(下周一入场),38.2,2026-09-11,72.49,72.49,+0.0%,2.73,,0,0.1884,是,sz.002913,奥士康,5.46,6.55,95.1,53,,,,,
买点1-W1(下周一入场),37.5,2026-09-11,72.82,72.82,+0.0%,2.48,,0,0.0908,大阴线,sz.003033,征和工业,4.72,5.66,91.4,444,,,,,
买点1-W3(温和),25.5,2026-08-28,17.38,17.48,+0.6%,1.82,0.81,2,0.089,大幅回吐/大阴线,sz.300192,科德教育,6.36,7.63,92.1,1189,,,,,
买点1-W3(温和),27.6,2026-08-28,27.74,25.27,-8.9%,2.53,0.85,2,0.151,大阴线,sz.300864,南大环境,8.24,9.89,90.1,4305,,,,,
