信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W1(下周一入场),36.1,2026-06-05,7.35,7.35,+0.0%,2.02,,0,0.073,是,sh.600123,兰花科创,3.69,4.43,72.6,164,,,,,
买点2,5.0,2026-05-15,51.5,55.42,,1.21,,3,,,sh.600105,永鼎股份,6.98,8.38,99.1,174,47.31,8.1%,+17.1%,2.0,1
买点1-W1(下周一入场),35.4,2026-06-05,46.6,46.6,+0.0%,1.8,,0,0.2041,大阴线,sh.600378,昊华科技,6.75,8.1,88.2,67,,,,,
买点1-W1(下周一入场),36.7,2026-06-05,25.05,25.05,+0.0%,2.24,,0,0.1491,大幅回吐/大阴线,sh.600188,兖矿能源,6.76,8.11,92.4,90,,,,,
买点1-W2(温和),36.1,2026-05-29,6.39,6.94,+8.6%,2.05,0.92,1,0.0527,大幅回吐/大阴线,sh.600226,亨通股份,5.93,7.12,89.9,229,,,,,3
买点1-W1(下周一入场),42.0,2026-06-05,3.44,3.44,+0.0%,4.1,,0,0.233,是,sh.600162,香江控股,6.91,8.29,91.4,1,,,,,
买点1-W1(下周一入场),36.7,2026-06-05,8.22,8.22,+0.0%,2.23,,0,0.1743,大阴线,sh.600063,皖维高新,5.88,7.06,83.9,62,,,,,
买点1-W3(温和),29.1,2026-05-22,8.22,8.46,+2.9%,3.04,1.17,2,0.1726,大幅回吐/大阴线,sh.600578,京能电力,12.21,14.65,92.3,629,,,,,
买点1-W1(下周一入场),35.5,2026-06-05,14.41,14.41,+0.0%,1.84,,0,0.1959,大阴线,sh.600596,新安股份,5.84,7.01,81.5,365,,,,,
买点2,5.0,2026-05-22,5.78,5.98,,1.2,,2,,,sh.600936,北投科技,9.09,10.91,91.3,592,5.31,8.1%,+12.6%,1.0,2
买点1-W1(下周一入场),35.6,2026-06-05,8.38,8.38,+0.0%,1.88,,0,0.094,大阴线,sh.600971,恒源煤电,4.22,5.06,80.0,141,,,,,
买点1-W1(下周一入场),39.3,2026-06-05,22.0,22.0,+0.0%,3.11,,0,0.1983,是,sh.601001,晋控煤业,6.33,7.6,87.5,54,,,,,
买点1-W1(下周一入场),37.8,2026-06-05,13.53,13.53,+0.0%,2.59,,0,0.1219,大阴线,sh.601101,昊华能源,7.44,8.93,92.3,46,,,,,
买点1-W1(下周一入场),37.1,2026-06-05,18.8,18.8,+0.0%,2.37,,0,0.175,是,sh.601699,潞安环能,5.44,6.53,85.7,43,,,,,
买点1-W1(下周一入场),37.2,2026-06-05,43.16,43.16,+0.0%,2.39,,0,0.1919,是,sh.603319,美湖股份,5.54,6.65,71.9,32,,,,,
买点1-W3(温和),28.8,2026-05-22,30.49,30.18,-1.0%,2.92,1.23,2,0.0964,大幅回吐/大阴线,sh.603324,盛剑科技,8.12,9.74,80.9,1087,,,,,
买点1-W1(下周一入场),36.4,2026-06-05,17.72,17.72,+0.0%,2.12,,0,0.1352,是,sh.603386,骏亚科技,5.2,6.24,81.1,300,,,,,
买点1-W2(温和),36.1,2026-05-29,16.28,17.0,+4.4%,2.03,0.84,1,0.1393,大阴线,sh.603439,三力制药,7.0,8.4,83.8,146,,,,,2
买点1-W2(温和),38.2,2026-05-29,58.87,65.27,+10.9%,2.74,0.84,1,0.166,大阴线,sh.603663,三祥新材,7.3,8.76,95.4,60,,,,,1
买点1-W1(下周一入场),37.3,2026-06-05,33.86,33.86,+0.0%,2.45,,0,0.2358,是,sh.603683,晶华新材,4.07,4.88,76.8,97,,,,,
买点1-W1(下周一入场),35.5,2026-06-05,31.24,31.24,+0.0%,1.84,,0,0.2592,是,sh.603890,春秋电子,7.09,8.51,94.2,31,,,,,
