信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点2,5.0,2026-05-22,49.68,52.82,,1.31,,2,,,sh.603938,三孚股份,7.82,9.38,98.4,465,45.31,8.8%,+16.6%,1.0,1
买点1-W1(下周一入场),35.9,2026-06-05,17.62,17.62,+0.0%,1.96,,0,0.2985,是,sh.605018,长华集团,5.17,6.2,88.8,88,,,,,
买点2,5.0,2026-05-22,104.3,105.0,,0.91,,2,,,sh.688003,天准科技,9.27,11.12,94.1,843,101.96,2.2%,+3.0%,1.0,2
买点1-W3(温和),25.5,2026-05-22,616.98,582.3,-5.6%,1.85,1.28,2,0.1642,大阴线,sh.688072,拓荆科技,11.57,13.88,94.6,1990,,,,,
买点1-W3(温和),25.5,2026-05-22,213.17,251.0,+17.7%,1.83,1.1,2,0.2167,是,sh.688082,盛美上海,9.8,11.76,89.3,161,,,,,
买点2,5.0,2026-05-22,12.69,12.88,,0.85,,2,,,sh.688096,京源环保,6.78,8.14,90.2,758,11.95,5.8%,+7.8%,1.0,2
买点2,5.0,2026-05-22,27.81,28.49,,0.78,,2,,,sh.688126,沪硅产业,11.0,13.2,81.8,666,27.7,0.4%,+2.9%,1.0,4
买点1-W3(温和),27.3,2026-05-22,176.71,173.25,-2.0%,2.42,1.02,2,0.2506,是,sh.688301,奕瑞科技,8.8,10.56,91.7,1236,,,,,
买点2,5.0,2026-05-22,19.5,19.89,,0.85,,2,,,sh.688432,有研硅,8.29,9.95,89.6,715,19.09,2.1%,+4.2%,1.0,3
买点2,5.0,2026-05-15,55.23,57.51,,1.6,,3,,,sh.688448,磁谷科技,6.67,8.0,93.1,389,53.13,3.8%,+8.2%,2.0,2
买点1-W2(缩量),45.5,2026-05-29,38.82,42.18,+8.7%,1.83,0.71,1,0.1022,大幅回吐/大阴线,sh.688757,胜科纳米,8.66,10.39,89.6,137,,,,,2
买点1-W2(温和),35.9,2026-05-29,38.8,42.49,+9.5%,1.96,0.96,1,0.0607,大幅回吐/大阴线,sh.688786,悦安新材,7.79,9.35,88.9,197,,,,,2
买点1-W1(下周一入场),37.1,2026-06-05,5.52,5.52,+0.0%,2.37,,0,0.2052,是,sz.000608,阳光股份,6.35,7.62,95.5,24,,,,,
买点1-W1(下周一入场),36.8,2026-06-05,20.59,20.59,+0.0%,2.26,,0,0.1221,大阴线,sz.000668,荣丰控股,5.35,6.42,91.5,157,,,,,
买点1-W1(下周一入场),35.8,2026-06-05,26.73,26.73,+0.0%,1.92,,0,0.0839,是,sz.000921,海信家电,3.48,4.18,57.6,295,,,,,
买点1-W1(下周一入场),35.7,2026-06-05,7.79,7.79,+0.0%,1.9,,0,0.1473,是,sz.000983,山西焦煤,3.86,4.63,73.4,124,,,,,
买点1-W3(温和),32.0,2026-05-22,79.07,70.54,-10.8%,9.46,1.14,2,0.3091,是,sz.001259,利仁科技,11.84,14.21,96.2,3492,,,,,
买点1-W1(下周一入场),36.9,2026-06-05,27.2,27.2,+0.0%,2.3,,0,0.0555,大幅回吐/大阴线,sz.001269,欧晶科技,6.77,8.12,68.4,249,,,,,
买点1-W1(下周一入场),36.1,2026-06-05,16.98,16.98,+0.0%,2.02,,0,0.1465,大阴线,sz.002125,湘潭电化,5.93,7.12,77.8,207,,,,,
买点1-W1(下周一入场),39.0,2026-06-05,10.35,10.35,+0.0%,2.99,,0,0.2191,是,sz.002137,实益达,5.28,6.34,72.7,130,,,,,
买点2,5.0,2026-05-22,215.87,227.58,,1.1,,2,,,sz.002281,光迅科技,8.31,9.97,92.6,757,203.95,5.5%,+11.6%,1.0,2
买点1-W2(温和),35.5,2026-05-29,132.04,133.22,+0.9%,1.83,0.99,1,0.1575,大阴线,sz.002463,沪电股份,7.3,8.76,93.2,186,,,,,2
买点1-W2(温和),40.2,2026-05-29,4.43,4.96,+12.0%,3.39,0.94,1,0.0624,大幅回吐/大阴线,sz.002613,北玻股份,7.17,8.6,81.3,147,,,,,2
买点1-W2(温和),35.8,2026-05-29,53.51,58.16,+8.7%,1.92,1.12,1,0.1593,是,sz.002636,金安国纪,7.22,8.66,99.3,85,,,,,1
买点1-W2(温和),37.7,2026-05-29,15.72,16.62,+5.7%,2.58,1.0,1,0.0762,大幅回吐/大阴线,sz.002669,康达新材,7.54,9.05,79.9,238,,,,,3
买点1-W2(缩量),49.7,2026-05-29,33.31,33.96,+2.0%,3.23,0.63,1,0.2043,大阴线,sz.002733,雄韬股份,7.22,8.66,91.4,109,,,,,2
买点2,5.0,2026-05-15,26.78,27.82,,1.46,,3,,,sz.002787,华源控股,7.76,9.31,96.6,510,24.85,7.2%,+12.0%,2.0,1
买点1-W1(下周一入场),36.4,2026-06-05,32.78,32.78,+0.0%,2.12,,0,0.2043,是,sz.002876,三利谱,5.09,6.11,81.8,325,,,,,
买点1-W1(下周一入场),36.7,2026-06-05,22.31,22.31,+0.0%,2.23,,0,0.2647,大阴线,sz.002951,金时科技,7.65,9.18,90.6,26,,,,,
买点2,5.0,2026-05-22,64.76,68.94,,1.34,,2,,,sz.003043,华亚智能,6.31,7.57,86.7,463,60.4,6.7%,+14.1%,1.0,3
买点1-W2(缩量),46.6,2026-05-29,8.45,8.83,+4.5%,2.18,0.62,1,0.1133,大阴线,sz.300234,开尔新材,6.16,7.39,90.3,194,,,,,2
买点1-W1(下周一入场),37.5,2026-06-05,17.08,17.08,+0.0%,2.5,,0,0.1533,大阴线,sz.300252,金信诺,6.71,8.05,80.1,429,,,,,
买点2,5.0,2026-05-15,23.4,24.06,,1.68,,3,,,sz.300265,通光线缆,7.5,9.0,97.1,281,21.58,7.8%,+11.5%,2.0,1
买点2,5.0,2026-05-15,38.18,41.23,,0.87,,3,,,sz.300398,飞凯材料,7.65,9.18,93.3,370,36.43,4.6%,+13.2%,2.0,2
买点1-W2(温和),35.9,2026-05-29,128.78,134.83,+4.7%,1.97,1.02,1,0.1198,大阴线,sz.300408,三环集团,8.39,10.07,98.8,171,,,,,1
买点1-W3(温和),26.0,2026-05-22,9.19,8.9,-3.2%,1.99,1.33,2,0.1153,大阴线,sz.300464,星徽股份,7.65,9.18,79.7,1451,,,,,
买点1-W1(下周一入场),39.1,2026-06-05,28.15,28.15,+0.0%,3.03,,0,0.1287,大阴线,sz.300486,东杰智能,6.46,7.75,81.4,120,,,,,
买点2,5.0,2026-05-22,67.21,67.31,,1.1,,2,,,sz.300553,集智股份,7.62,9.14,93.4,911,61.9,7.9%,+8.7%,1.0,2
买点1-W1(下周一入场),36.1,2026-06-05,39.4,39.4,+0.0%,2.03,,0,0.0899,是,sz.300628,亿联网络,3.78,4.54,76.6,419,,,,,
买点1-W2(缩量),48.8,2026-05-29,35.49,40.3,+13.6%,2.94,0.43,1,0.0913,大幅回吐/大阴线,sz.300626,华瑞股份,9.07,10.88,98.1,101,,,,,1
买点2,5.0,2026-05-22,196.6,201.19,,0.95,,2,,,sz.300666,江丰电子,9.07,10.88,96.8,676,190.2,3.3%,+5.8%,1.0,1
买点2,5.0,2026-05-22,20.52,20.61,,1.16,,2,,,sz.300700,岱勒新材,5.72,6.86,92.1,877,18.6,9.4%,+10.8%,1.0,2
买点2,5.0,2026-05-22,51.21,51.52,,1.0,,2,,,sz.300706,阿石创,8.16,9.79,87.5,853,48.9,4.5%,+5.4%,1.0,3
买点1-W3(缩量),36.2,2026-05-22,32.35,30.54,-5.6%,2.06,0.61,2,0.1018,大阴线,sz.300721,怡达股份,10.67,12.8,95.6,1995,,,,,
买点1-W1(下周一入场),42.0,2026-06-05,8.89,8.89,+0.0%,4.55,,0,0.2245,是,sz.300737,科顺股份,7.8,9.36,90.7,148,,,,,
买点1-W3(温和),30.9,2026-05-22,12.68,13.99,+10.3%,3.64,0.91,2,0.1201,大阴线,sz.300825,阿尔特,8.42,10.1,88.7,274,,,,,
买点1-W3(温和),27.7,2026-05-22,41.11,53.01,+28.9%,2.55,1.31,2,0.2439,是,sz.300907,康平科技,8.03,9.64,92.5,61,,,,,
买点1-W3(温和),26.1,2026-05-22,26.88,30.69,+14.2%,2.02,1.21,2,0.2202,是,sz.300948,冠中生态,6.61,7.93,87.6,232,,,,,
买点1-W3(温和),25.7,2026-05-15,63.68,58.73,-7.8%,1.9,0.83,2,0.0529,是,sz.301096,百诚医药,5.9,7.08,71.9,2567,,,,,
买点1-W2(温和),36.9,2026-05-29,29.99,34.09,+13.7%,2.3,0.98,1,0.1169,大幅回吐/大阴线,sz.301115,联检科技,6.78,8.14,95.3,78,,,,,1
买点2,5.0,2026-05-22,49.15,54.69,,1.25,,2,,,sz.301188,力诺药包,10.51,12.61,98.7,284,42.26,14.0%,+29.4%,1.0,1
买点1-W2(温和),35.9,2026-05-29,350.72,395.91,+12.9%,1.96,0.89,1,0.1291,大阴线,sz.301377,鼎泰高科,8.17,9.8,99.5,73,,,,,1
买点1-W2(缩量),47.0,2026-05-29,80.82,87.35,+8.1%,2.32,0.78,1,0.2415,是,sz.301568,思泰克,7.32,8.78,94.9,39,,,,,1
买点2,5.0,2026-05-22,137.8,138.65,,0.8,,2,,,sz.301603,乔锋智能,6.7,8.04,94.5,852,126.63,8.1%,+9.5%,1.0,2
