信号类型,评分,突破日期,突破价,当前价,突破后涨幅,倍量比,缩量比,突破距今(周),缩量确认(周),股票代码,股票名称,ATR%
买点1✓,44.2,2026-04-03,37.15,37.12,-0.1%,2.61,0.47,1,1,sh.600066,宇通客车,3.91
买点1✓,92.9,2026-04-03,5.26,5.57,+5.9%,8.7,0.42,1,1,sh.600502,安徽建工,5.37
买点1✓,46.8,2026-04-03,9.97,9.8,-1.7%,2.93,0.53,1,1,sh.600746,江苏索普,6.39
买点1✓,37.0,2026-03-27,34.3,33.65,-1.9%,2.54,0.55,2,2,sh.603659,璞泰来,5.24
买点1✓,49.1,2026-03-27,20.44,20.72,+1.4%,4.05,0.55,2,2,sz.002039,黔源电力,5.89
买点1✓,43.7,2026-04-03,28.11,26.84,-4.5%,2.55,0.57,1,1,sz.002730,电光科技,9.47
买点1✓,61.3,2026-04-03,122.06,121.27,-0.6%,4.74,0.62,1,1,sz.002821,凯莱英,4.48
