信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-05-22,60.44,46.8,22.6%,69.25,+48.0%,1.34,3.0,4,sh.688419,耐科装备,6.73,8.08,96.6,51,,,,,1
买点1-W2(缩量),45.4,2026-06-12,247.7,,,254.5,,1.81,,1,sh.688507,索辰科技,10.52,12.62,97.5,30,+2.7%,0.68,0.2938,大幅回吐/大阴线,1
买点2,5.0,2026-05-22,134.0,114.8,14.3%,152.9,+33.2%,0.92,3.0,4,sh.688535,华海诚科,7.35,8.82,94.6,147,,,,,2
买点2,5.0,2026-05-15,68.69,54.08,21.3%,70.0,+29.4%,0.87,4.0,5,sh.688551,科威尔,10.2,12.24,96.1,211,,,,,1
买点2,5.0,2026-05-29,141.94,134.96,4.9%,158.0,+17.1%,0.83,2.0,3,sh.688629,华丰科技,6.69,8.03,93.3,505,,,,,2
买点2,5.0,2026-05-22,154.27,124.5,19.3%,158.68,+27.5%,1.39,3.0,4,sh.688686,奥普特,6.27,7.52,85.1,408,,,,,3
买点2,5.0,2026-05-29,39.79,37.09,6.8%,44.04,+18.7%,1.09,2.0,3,sz.000021,深科技,6.45,7.74,92.3,580,,,,,2
买点2,5.0,2026-05-15,28.91,23.09,20.1%,29.23,+26.6%,1.0,4.0,5,sz.000029,深深房A,5.25,6.3,81.0,198,,,,,2
买点2,5.0,2026-05-22,18.15,16.23,10.6%,18.71,+15.3%,1.7,3.0,4,sz.000672,上峰材料,4.97,5.96,90.3,410,,,,,2
买点2,5.0,2026-06-05,9.09,8.5,6.5%,9.33,+9.8%,1.08,1.0,2,sz.002072,凯瑞德,7.09,8.51,81.3,1135,,,,,4
