信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,步长
买点1-W1(下周一入场),36.9,2026/4/17,90.01,90.01,0.00%,2.31,,0,0.2,是,sh.688282,理工导航,5.94,7.128
买点1-W1(下周一入场),36.7,2026/4/17,4.69,4.69,0.00%,2.25,,0,0.0984,是,sz.002638,勤上股份,4.93,5.916
买点1-W1(下周一入场),36.6,2026/4/17,105.3,105.3,0.00%,2.21,,0,0.2971,是,sh.603256,宏和科技,6.51,7.812
买点1-W1(下周一入场),36.6,2026/4/17,28.09,28.09,0.00%,2.2,,0,0.1612,是,sz.002497,雅化集团,4.33,5.196
买点1-W1(下周一入场),36.5,2026/4/17,12.94,12.94,0.00%,2.18,,0,0.1828,是,sh.603002,宏昌电子,5.27,6.324
买点1-W1(下周一入场),36.3,2026/4/17,87.79,87.79,0.00%,2.11,,0,0.2854,是,sz.300390,天华新能,6.97,8.364
买点1-W1(下周一入场),36.2,2026/4/17,25.99,25.99,0.00%,2.08,,0,0.176,是,sh.603906,龙蟠科技,6.44,7.728
买点1-W1(下周一入场),36.2,2026/4/17,45.01,45.01,0.00%,2.08,,0,0.1933,是,sz.300900,广联航空,7.75,9.3
买点1-W1(下周一入场),36.2,2026/4/17,19.92,19.92,0.00%,2.07,,0,0.2373,是,sh.600234,科新发展,4.41,5.292
买点1-W1(下周一入场),36.2,2026/4/17,52.9,52.9,0.00%,2.06,,0,0.2262,是,sh.603773,沃格光电,5.45,6.54
买点1-W1(下周一入场),36.2,2026/4/17,68.98,68.98,0.00%,2.06,,0,0.2064,是,sz.300438,鹏辉能源,5.96,7.152
买点1-W1(下周一入场),36.2,2026/4/17,34.37,34.37,0.00%,2.05,,0,0.248,是,sh.603826,坤彩科技,5.89,7.068
