信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W3(缩量),36.0,2026-06-26,16.65,17.0,+2.1%,2.0,0.71,2,0.1884,大阴线,sh.600172,黄河旋风,12.1,14.52,98.0,2019,,,,,
买点1-W1(下周一入场),34.5,2026-07-10,16.79,16.79,+0.0%,1.51,,0,0.1908,大阴线,sh.600360,华微电子,8.81,10.57,96.1,86,,,,,
买点1-W3(缩量),42.0,2026-06-26,3.27,3.08,-5.8%,4.91,0.63,2,0.2156,大阴线,sh.600400,红豆股份,7.95,9.54,84.1,3769,,,,,
买点1-W3(温和),26.0,2026-06-26,26.04,18.84,-27.6%,2.01,1.01,2,0.2891,是,sh.600397,江钨装备,13.41,16.09,97.2,4933,,,,,
买点1-W3(温和),26.3,2026-06-26,20.48,20.56,+0.4%,2.11,1.03,2,0.1023,是,sh.600999,招商证券,5.65,6.78,83.0,2537,,,,,
买点1-W3(温和),27.2,2026-06-26,16.61,15.09,-9.2%,2.41,1.53,2,0.2098,大阴线,sh.603010,万盛股份,8.36,10.03,88.1,4120,,,,,
买点1-W3(温和),25.2,2026-06-26,415.05,448.75,+8.1%,1.75,1.48,2,0.1832,大阴线,sh.603061,金海通,9.79,11.75,99.4,720,,,,,
买点1-W3(温和),28.4,2026-06-26,118.18,123.3,+4.3%,2.79,1.35,2,0.1505,是,sh.603259,药明康德,5.32,6.38,85.4,1339,,,,,
买点1-W1(下周一入场),36.4,2026-07-10,16.25,16.25,+0.0%,2.12,,0,0.138,大阴线,sh.603339,四方科技,5.8,6.96,82.8,329,,,,,
买点1-W3(温和),25.8,2026-06-26,85.83,82.75,-3.6%,1.94,1.7,2,0.3008,是,sh.603650,彤程新材,10.75,12.9,90.0,3390,,,,,
买点1-W3(温和),32.0,2026-06-26,5.54,6.18,+11.6%,3.99,1.07,2,0.1423,大阴线,sh.603669,灵康药业,7.41,8.89,86.2,440,,,,,
