信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认
买点1-W2(缩量),48.9,2026-04-30,12.29,,,12.4,,2.97,,1,sh.688549,中巨芯,4.91,5.89,76.2,131,+0.9%,0.66,0.2427,是
买点1-W2(缩量),48.6,2026-04-30,36.2,,,36.42,,2.86,,1,sh.688633,星球石墨,6.42,7.7,85.6,106,+0.6%,0.59,0.0774,大阴线
买点1-W3(缩量),38.9,2026-04-24,109.5,,,128.3,,2.95,,2,sh.688661,和林微纳,8.29,9.95,97.5,238,+17.2%,0.7,0.2335,大阴线
买点2,5.0,2026-04-24,151.88,148.26,2.4%,156.11,+5.3%,0.68,1.0,2,sh.688667,菱电电控,6.57,7.88,97.3,1542,,,,
买点2,5.0,2026-04-24,44.39,44.0,0.9%,45.7,+3.9%,0.62,1.0,2,sh.688683,莱尔科技,4.52,5.42,82.8,784,,,,
买点1-W1(下周一入场),37.3,2026-05-08,21.29,,,21.29,,2.44,,0,sh.688697,纽威数控,4.6,5.52,77.7,120,+0.0%,,0.2236,是
买点2,5.0,2026-04-24,61.92,61.1,1.3%,62.0,+1.5%,0.69,1.0,2,sh.688700,东威科技,6.41,7.69,91.5,3820,,,,
买点2,5.0,2026-04-24,16.74,16.52,1.3%,17.53,+6.1%,0.79,1.0,2,sh.688707,振华新材,8.25,9.9,74.5,1478,,,,
买点2,5.0,2026-04-24,18.41,18.13,1.5%,19.9,+9.8%,1.13,1.0,2,sz.000026,飞亚达,5.05,6.06,73.8,1670,,,,
买点1-W1(下周一入场),42.0,2026-05-08,12.58,,,12.58,,6.69,,0,sz.000697,炼石航空,3.45,4.14,89.4,278,+0.0%,,0.237,是
买点1-W2(温和),37.0,2026-04-30,23.16,,,23.55,,2.32,,1,sz.001298,好上好,3.95,4.74,52.8,1308,+1.7%,1.0,0.0883,大阴线
买点1-W1(下周一入场),38.6,2026-05-08,60.7,,,60.7,,2.86,,0,sz.001316,润贝航科,4.48,5.38,92.1,352,+0.0%,,0.1696,是
买点1-W3(温和),32.0,2026-04-24,48.46,,,57.84,,3.99,,2,sz.001314,亿道信息,3.98,4.78,73.7,99,+19.4%,1.14,0.1125,大阴线
买点2,5.0,2026-04-24,102.46,100.72,1.7%,122.06,+21.2%,0.81,1.0,2,sz.002008,大族激光,5.82,6.98,98.8,113,,,,
买点1-W1(下周一入场),37.2,2026-05-08,6.83,,,6.83,,2.4,,0,sz.002183,怡亚通,4.77,5.72,79.5,685,+0.0%,,0.2218,是
买点2,5.0,2026-04-17,37.73,35.64,5.5%,43.15,+21.1%,0.95,2.0,3,sz.002213,大为股份,5.77,6.92,88.5,368,,,,
买点2,5.0,2026-04-24,20.95,20.66,1.4%,22.03,+6.6%,1.26,1.0,2,sz.002245,蔚蓝锂芯,4.15,4.98,73.6,1127,,,,
买点2,5.0,2026-04-24,41.69,40.79,2.2%,45.15,+10.7%,1.12,1.0,2,sz.002364,中恒电气,5.57,6.68,92.0,2616,,,,
买点2,5.0,2026-04-24,187.9,186.73,0.6%,211.39,+13.2%,0.88,1.0,2,sz.002384,东山精密,6.15,7.38,99.0,224,,,,
买点2,5.0,2026-04-24,77.12,70.01,9.2%,86.07,+22.9%,0.99,1.0,2,sz.002428,云南锗业,6.43,7.72,99.1,208,,,,
买点2,5.0,2026-04-24,28.52,27.71,2.8%,32.01,+15.5%,0.98,1.0,2,sz.002436,兴森科技,5.66,6.79,86.2,694,,,,
买点2,5.0,2026-04-24,38.4,35.88,6.6%,43.34,+20.8%,1.31,1.0,2,sz.002536,飞龙股份,6.24,7.49,94.4,783,,,,
买点1-W1(下周一入场),38.6,2026-05-08,8.45,,,8.45,,2.86,,0,sz.002631,德尔未来,5.83,7.0,87.9,502,+0.0%,,0.071,大阴线
