信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W1(下周一入场),36.4,2026-06-12,32.99,32.99,+0.0%,2.14,,0,0.129,大阴线,sh.600206,有研新材,6.95,8.34,91.2,196,,,,,
买点1-W1(下周一入场),42.0,2026-06-12,7.48,7.48,+0.0%,5.86,,0,0.1817,大阴线,sh.600228,返利科技,5.69,6.83,78.6,153,,,,,
买点1-W3(温和),26.1,2026-05-29,6.39,7.5,+17.4%,2.05,0.92,2,0.0527,大幅回吐/大阴线,sh.600226,亨通股份,6.56,7.87,91.9,166,,,,,
买点1-W1(下周一入场),35.7,2026-06-12,27.73,27.73,+0.0%,1.89,,0,0.0896,大阴线,sh.600060,海信视像,5.13,6.16,72.7,473,,,,,
买点1-W1(下周一入场),35.4,2026-06-12,57.15,57.15,+0.0%,1.81,,0,0.2264,大阴线,sh.600378,昊华科技,7.73,9.28,94.6,17,,,,,
买点1-W1(下周一入场),35.7,2026-06-12,3.99,3.99,+0.0%,1.9,,0,0.1368,大阴线,sh.600665,天地源,6.28,7.54,71.9,104,,,,,
买点1-W1(下周一入场),41.0,2026-06-12,13.04,13.04,+0.0%,3.65,,0,0.2221,是,sh.603020,爱普股份,4.33,5.2,84.2,42,,,,,
买点1-W1(下周一入场),39.0,2026-06-12,22.61,22.61,+0.0%,3.0,,0,0.1396,大幅回吐/大阴线,sh.603155,新亚强,6.2,7.44,80.6,74,,,,,
买点1-W1(下周一入场),35.8,2026-06-12,76.43,76.43,+0.0%,1.93,,0,0.1308,大阴线,sh.603150,万朗磁塑,6.0,7.2,96.0,304,,,,,
买点2,5.0,2026-05-29,14.7,14.75,,0.97,,2,,,sh.603213,镇洋发展,3.65,4.38,72.7,1174,14.2,3.4%,+3.9%,1.0,5
买点1-W3(温和),25.7,2026-05-29,69.26,62.2,-10.2%,1.89,1.4,2,0.0673,大幅回吐/大阴线,sh.603267,鸿远电子,10.43,12.52,83.1,4062,,,,,
买点2,5.0,2026-05-29,202.15,207.89,,1.05,,2,,,sh.603256,宏和科技,8.65,10.38,99.9,840,196.06,3.0%,+6.0%,1.0,1
买点1-W3(温和),26.1,2026-05-29,16.28,14.95,-8.2%,2.03,0.84,2,0.1393,大阴线,sh.603439,三力制药,8.82,10.58,81.1,3599,,,,,
买点1-W3(温和),28.2,2026-05-29,58.87,72.6,+23.3%,2.74,0.84,2,0.166,大阴线,sh.603663,三祥新材,7.67,9.2,96.2,98,,,,,
买点1-W1(下周一入场),36.6,2026-06-12,218.08,218.08,+0.0%,2.2,,0,0.2821,大阴线,sh.603929,亚翔集成,6.54,7.85,98.7,21,,,,,
买点1-W1(下周一入场),38.0,2026-06-12,27.19,27.19,+0.0%,2.68,,0,0.216,是,sh.603976,正川股份,5.46,6.55,85.9,77,,,,,
买点1-W3(温和),27.2,2026-05-29,19.63,22.04,+12.3%,2.41,1.13,2,0.1629,是,sh.603990,麦迪科技,6.52,7.82,86.5,297,,,,,
买点1-W1(下周一入场),35.8,2026-06-12,34.27,34.27,+0.0%,1.94,,0,0.1862,是,sh.605186,健麾信息,6.47,7.76,91.9,61,,,,,
买点2,5.0,2026-05-29,627.99,645.18,,1.08,,2,,,sh.688072,拓荆科技,8.26,9.91,95.5,851,582.3,7.3%,+10.8%,1.0,1
买点1-W1(下周一入场),37.9,2026-06-12,60.27,60.27,+0.0%,2.62,,0,0.2515,是,sh.688056,莱伯泰科,8.32,9.98,92.8,1,,,,,
买点1-W1(下周一入场),37.0,2026-06-12,35.32,35.32,+0.0%,2.34,,0,0.1055,大阴线,sh.688138,清溢光电,7.38,8.86,80.8,267,,,,,
买点1-W1(下周一入场),36.5,2026-06-12,45.04,45.04,+0.0%,2.18,,0,0.2333,是,sh.688163,赛伦生物,6.1,7.32,95.2,67,,,,,
买点2,5.0,2026-05-29,42.0,42.05,,1.07,,2,,,sh.688181,八亿时空,8.53,10.24,81.5,1137,40.2,4.3%,+4.6%,1.0,4
买点1-W1(下周一入场),36.0,2026-06-12,104.1,104.1,+0.0%,2.01,,0,0.1924,大阴线,sh.688233,神工股份,8.26,9.91,90.9,114,,,,,
买点2,5.0,2026-05-29,45.15,53.3,,1.7,,2,,,sh.688218,江苏北人,7.01,8.41,97.3,155,43.72,3.2%,+21.9%,1.0,1
买点2,5.0,2026-05-08,78.01,78.13,,1.79,,5,,,sh.688379,华光新材,8.47,10.16,89.8,300,69.62,10.8%,+12.2%,4.0,3
买点1-W1(下周一入场),35.7,2026-06-12,182.0,182.0,+0.0%,1.9,,0,0.2526,大阴线,sh.688409,富创精密,7.69,9.23,97.7,120,,,,,
买点2,5.0,2026-05-29,239.0,297.19,,1.4,,2,,,sh.688519,南亚新材,10.8,12.96,99.7,88,236.1,1.2%,+25.9%,1.0,1
买点1-W1(下周一入场),35.4,2026-06-12,247.7,247.7,+0.0%,1.81,,0,0.2938,大幅回吐/大阴线,sh.688507,索辰科技,11.32,13.58,98.2,14,,,,,
买点2,5.0,2026-05-15,92.67,108.0,,1.54,,4,,,sh.688545,兴福电子,7.55,9.06,98.6,23,75.2,18.9%,+43.6%,3.0,1
买点2,5.0,2026-05-29,309.01,309.36,,0.91,,2,,,sh.688536,思瑞浦,7.73,9.28,95.3,1204,293.0,5.2%,+5.6%,1.0,1
买点2,5.0,2026-05-22,205.0,212.8,,1.07,,3,,,sh.688610,埃科光电,11.09,13.31,99.3,219,185.0,9.8%,+15.0%,2.0,1
买点2,5.0,2026-05-15,36.6,39.2,,1.57,,4,,,sh.688733,壹石通,8.34,10.01,79.3,480,36.18,1.1%,+8.3%,3.0,5
买点1-W3(缩量),35.5,2026-05-29,38.82,42.3,+9.0%,1.83,0.71,2,0.1022,大幅回吐/大阴线,sh.688757,胜科纳米,8.35,10.02,90.8,411,,,,,
买点1-W2(温和),37.1,2026-06-05,5.52,6.44,+16.7%,2.37,1.79,1,0.2052,是,sz.000608,阳光股份,8.26,9.91,97.0,26,,,,,1
买点2,5.0,2026-05-29,4.18,4.26,,0.92,,2,,,sz.000809,和展能源,5.43,6.52,81.3,968,3.98,4.8%,+7.0%,1.0,4
买点1-W1(下周一入场),35.7,2026-06-12,31.96,31.96,+0.0%,1.9,,0,0.2872,是,sz.002119,康强电子,6.52,7.82,94.8,31,,,,,
买点1-W2(温和),36.1,2026-06-05,16.98,18.06,+6.4%,2.02,1.4,1,0.1465,大阴线,sz.002125,湘潭电化,6.86,8.23,85.2,106,,,,,2
买点2,5.0,2026-05-08,22.11,23.44,,1.4,,5,,,sz.002203,海亮股份,6.24,7.49,95.3,242,19.04,13.9%,+23.1%,4.0,1
买点1-W1(下周一入场),39.3,2026-06-12,18.06,18.06,+0.0%,3.1,,0,0.1629,大幅回吐/大阴线,sz.002254,泰和新材,7.02,8.42,94.6,40,,,,,
买点1-W1(下周一入场),35.4,2026-06-12,132.99,132.99,+0.0%,1.81,,0,0.1564,是,sz.002409,雅克科技,7.06,8.47,94.2,91,,,,,
买点2,5.0,2026-05-29,36.37,37.31,,1.04,,2,,,sz.002422,科伦药业,4.6,5.52,76.9,876,34.61,4.8%,+7.8%,1.0,5
买点1-W3(温和),31.7,2026-05-29,17.15,15.1,-12.0%,3.92,1.71,2,0.2741,大阴线,sz.002579,中京电子,12.15,14.58,82.8,4315,,,,,
买点1-W3(温和),30.2,2026-05-29,4.43,4.35,-1.8%,3.39,0.94,2,0.0624,大幅回吐/大阴线,sz.002613,北玻股份,10.46,12.55,75.5,1585,,,,,
