信号类型,评分,突破/底部日期,突破价/前高,当前价,突破后涨幅,成交额倍量比,W2量能比(vs W1),距今(周),gain_w1,日线确认,股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,回踩低点,回踩幅度,距低点涨幅,回踩周数,辨识度级别
买点1-W3(温和),27.7,2026-05-29,15.72,15.5,-1.4%,2.58,1.0,2,0.0762,大幅回吐/大阴线,sz.002669,康达新材,9.84,11.81,76.9,1487,,,,,
买点1-W1(下周一入场),36.6,2026-06-12,16.0,16.0,+0.0%,2.21,,0,0.0855,大阴线,sz.002674,兴业科技,5.85,7.02,79.7,580,,,,,
买点2,5.0,2026-05-29,28.86,29.63,,1.09,,2,,,sz.002741,光华科技,7.19,8.63,86.0,865,27.98,3.0%,+5.9%,1.0,3
买点1-W3(温和),25.7,2026-05-29,59.71,63.89,+7.0%,1.91,1.22,2,0.199,是,sz.003004,声迅股份,9.93,11.92,98.5,500,,,,,
买点1-W1(下周一入场),36.0,2026-06-12,16.25,16.25,+0.0%,2.0,,0,0.0935,是,sz.003025,思进智能,6.22,7.46,76.8,272,,,,,
买点1-W3(温和),26.1,2026-05-29,45.25,39.71,-12.2%,2.03,1.2,2,0.3957,是,sz.300179,四方达,11.98,14.38,97.1,4267,,,,,
买点1-W1(下周一入场),35.8,2026-06-12,10.8,10.8,+0.0%,1.93,,0,0.2231,是,sz.300234,开尔新材,6.71,8.05,95.1,68,,,,,
买点1-W3(温和),26.0,2026-05-29,7.8,6.18,-20.8%,2.01,1.09,2,0.1143,是,sz.300241,瑞丰光电,8.89,10.67,63.4,4877,,,,,
买点1-W1(下周一入场),36.9,2026-06-12,8.2,8.2,+0.0%,2.31,,0,0.0719,是,sz.300307,慈星股份,4.33,5.2,75.5,117,,,,,
买点1-W3(温和),25.9,2026-05-29,128.78,126.5,-1.8%,1.97,1.02,2,0.1198,大阴线,sz.300408,三环集团,9.79,11.75,98.4,1579,,,,,
买点1-W2(温和),39.2,2026-06-05,6.07,6.28,+3.5%,3.07,1.01,1,0.3519,是,sz.300420,五洋自控,8.05,9.66,89.2,30,,,,,1
买点2,5.0,2026-05-22,195.11,196.3,,0.75,,3,,,sz.300567,精测电子,8.18,9.82,97.9,1071,189.23,3.0%,+3.7%,2.0,1
买点1-W1(下周一入场),36.1,2026-06-12,35.89,35.89,+0.0%,2.04,,0,0.166,大阴线,sz.300656,民德电子,8.66,10.39,92.0,234,,,,,
买点1-W1(下周一入场),36.9,2026-06-12,20.76,20.76,+0.0%,2.29,,0,0.1702,是,sz.300786,国林科技,6.22,7.46,84.5,261,,,,,
买点1-W3(温和),26.0,2026-05-29,179.5,177.4,-1.2%,2.0,1.01,2,0.2656,大阴线,sz.300835,龙磁科技,11.58,13.9,98.3,1450,,,,,
买点1-W1(下周一入场),37.3,2026-06-12,31.29,31.29,+0.0%,2.44,,0,0.2166,是,sz.300985,致远新能,6.78,8.14,91.5,38,,,,,
买点1-W3(温和),26.9,2026-05-29,29.99,30.45,+1.5%,2.3,0.98,2,0.1169,大幅回吐/大阴线,sz.301115,联检科技,7.23,8.68,94.7,971,,,,,
买点2,5.0,2026-05-15,147.81,163.89,,1.52,,4,,,sz.301128,强瑞技术,8.15,9.78,98.0,46,123.78,16.3%,+32.4%,3.0,1
买点2,5.0,2026-05-15,154.98,159.82,,1.35,,4,,,sz.301196,唯科科技,7.9,9.48,94.9,50,121.94,21.3%,+31.1%,3.0,1
买点2,5.0,2026-05-29,114.0,141.8,,1.25,,2,,,sz.301217,铜冠铜箔,9.33,11.2,99.6,85,111.26,2.4%,+27.4%,1.0,1
买点1-W1(下周一入场),35.5,2026-06-12,103.78,103.78,+0.0%,1.83,,0,0.2468,大阴线,sz.301323,新莱福,6.71,8.05,94.3,58,,,,,
买点2,5.0,2026-05-29,87.35,92.99,,1.26,,2,,,sz.301389,隆扬电子,8.42,10.1,92.5,524,82.0,6.1%,+13.4%,1.0,2
买点2,5.0,2026-05-15,89.2,90.99,,1.62,,4,,,sz.301536,星宸科技,5.45,6.54,89.6,369,78.35,12.2%,+16.1%,3.0,3
买点1-W3(缩量),37.0,2026-05-29,80.82,87.94,+8.8%,2.32,0.78,2,0.2415,是,sz.301568,思泰克,7.75,9.3,94.2,416,,,,,
买点2,5.0,2026-05-15,43.33,46.82,,1.28,,4,,,sh.688689,银河微电,6.63,7.96,92.5,418,38.75,10.6%,+20.8%,3.0,2
